name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,,g_us_per_km,max_i_ka,kv_from,MVA_sp,df,parallel,type,max_loading_percent,in_service,line_id,wp_max_i_ka,,MVA_wp
Cahir to Loughryan,,1709,1849,8,2.73E-02,1.32E-01,2.92E+02,0.47229,0,0.997241374,110,190,1,1,,110,FALSE,1029,0.997241374,496,190
Coumnag to Loughryan,,1848,1849,19,2.73E-02,1.32E-01,2.92E+02,0.47229,0,0.997241374,110,190,1,1,,110,FALSE,1028,0.997241374,496,190
Coumnag to Doon,,1848,1667,17,2.73E-02,1.32E-01,2.92E+02,0.47229,0,0.997241374,110,190,1,1,,110,FALSE,1027,0.997241374,496,190
Coumnag to Dyrick Hill,,1848,1847,10,2.73E-02,1.32E-01,2.92E+02,0.47229,0,0.997241374,110,190,1,1,,110,FALSE,1026,0.997241374,496,190
Modelligo to Dyrick Hill,,1846,1847,8,2.73E-02,1.32E-01,2.92E+02,0.47229,0,0.997241374,110,190,1,1,,110,FALSE,1025,0.997241374,496,190
Modelligo to Dungarvan,,1846,1669,10,2.73E-02,1.32E-01,2.92E+02,0.47229,0,0.997241374,110,190,1,1,,110,TRUE,1024,0.997241374,496,190
   Coom Green to   'Killonan',,1845,1586,65.164,7.66E-02,4.06E-01,8.57E+00,6.2937624,0,1.343651536,220,512.0000002,1,1,,110,TRUE,1023,1.480116145,295,564
   Coom Green to   'Knockraha',,1845,1596,17,7.66E-02,4.06E-01,8.57E+00,6.2937624,0,1.343651536,220,512.0000002,1,1,,110,TRUE,1022,1.480116145,295,564
      'Coom Green' to Coom Green Option,,1826,1844,12.5,7.60E-02,3.93E-01,9.26E+00,0.95,0,0.934257708,110,177.9999999,1,1,,110,FALSE,1021,1.102214151,484,210
Kilnap to Coom Green Option,,739,1844,18.2,7.62E-02,3.93E-01,9.26E+00,2.22504,0,0.703317601,110,134.0000001,1,1,,110,TRUE,1020,0.834533571,437,159
Mallow to Coom Green Option,,1522,1844,11,7.62E-02,3.93E-01,9.26E+00,2.22504,0,0.703317601,110,134.0000001,1,1,,110,TRUE,1019,0.834533571,437,159
Balbriggan to Belcamp,,1843,1736,25,2.43E-02,1.90E-01,1.80E+02,0.48843,0,1.556221407,220,592.9999998,1,1,,110,TRUE,1018,1.556221407,,592.9999998
Shanganagh to Carrickmines,,1842,1706,2.3,2.43E-02,1.90E-01,1.80E+02,0.48843,0,1.556221407,220,592.9999998,1,1,,110,TRUE,1017,1.556221407,,592.9999998
   'Rinawade' to    'Dunfir_T' post uprate,,1481,878,25.9,7.61E-02,3.93E-01,9.34E+00,4.39097,0,0.934257708,110,178,1,1,,110,TRUE,1016,1.10221415,390,210
      'Curraghmore' to    Cahir,,1840,1709,22.69,7.60E-02,3.93E-01,9.26E+00,3.32044,0,0.934257708,110,177.9999999,1,1,,110,TRUE,1015,1.102214151,na,210
      'Curraghmore' to    'Barrym T',,1840,1224,21,7.60E-02,3.93E-01,9.26E+00,3.32044,0,0.934257708,110,177.9999999,1,1,,110,TRUE,1014,1.102214151,na,210
  Flanagan to     Kill Hill,,1839,1651,13.241,7.63E-02,3.93E-01,9.26E+00,1.6206883,0,0.934257708,110,177.9999999,1,1,,110,TRUE,1013,1.102214151,516,210
  Flanagan to     'Thurles',,1839,1437,8,7.63E-02,3.93E-01,9.26E+00,1.6206883,0,0.934257708,110,177.9999999,1,1,,110,TRUE,1012,1.102214151,515,210
Rathnaskilloge to Dromana,,1478,1838,7,7.61E-02,3.93E-01,9.34E+00,4.39097,0,0.934257708,110,178,1,1,,110,FALSE,1011,1.10221415,,210
Carrowdotia to Moneypoint,,1841,1529,2.3,2.43E-02,1.90E-01,1.80E+02,0.48843,0,1.556221407,220,592.9999998,1,1,,110,TRUE,1010,1.556221407,,592.9999998
Curraghtown to Woodland pre_uprate,,5,1430,25.2,5.66E-02,4.19E-01,8.60E+00,4.9859506,0,0.918511792,220,350,1,1,,110,FALSE,1009,1.144203261,,436
Curraghtown to Oriel pre_uprate,,5,148,24,5.66E-02,4.19E-01,8.60E+00,4.9859506,0,0.918511792,220,350,1,1,,110,FALSE,1008,1.144203261,,436
      'Louth' to       'Oriel' pre_uprate,,1564,148,14.5,5.66E-02,4.19E-01,8.60E+00,4.9859506,0,0.918511792,220,350,1,1,,110,FALSE,1007,1.346275855,,513
 'Great Island' to      'Kellis' pre_uprate,,1626,1579,70.433,5.67E-02,4.20E-01,8.62E+00,1.45152,0,1.031357526,220,392.9999999,1,1,,110,FALSE,1006,1.228181482,,468
 'Glenlara' to    'Test_PV_2',,1613,1837,14.061,1.81E-01,4.16E-01,8.43E+00,5.079041,0,0.519615242,110,98.99999995,1,1,,110,TRUE,1005,0.645582574,509,123
 'Charleville' to    'Test_PV_2',,1693,1837,14,1.81E-01,4.16E-01,8.43E+00,5.079041,0,0.519615242,110,98.99999995,1,1,,110,TRUE,1004,0.645582574,508,123
     'Test_PV' to      'Cashla',,1836,1718,8.763,7.61E-02,3.93E-01,9.34E+00,4.39097,0,0.934257708,110,178,1,1,,110,TRUE,1003,1.10221415,507,210
     'Test_PV' to      'Dalton',,1836,1655,52,7.61E-02,3.93E-01,9.34E+00,4.39097,0,0.934257708,110,178,1,1,,110,TRUE,1002,1.10221415,506,210
  Cullenagh to  Mothel,,1683,1835,11.8,1.73E-01,4.17E-01,8.84E+00,3.7714,0,1.028733207,110,196,1,1,,110,TRUE,1001,1.138954622,505,217
  'Ballydine' to  Mothel,,1748,1835,10,1.73E-01,4.17E-01,8.84E+00,3.7714,0,1.028733207,110,196,1,1,,110,TRUE,1000,1.138954622,504,217
 'Great Island' to    'Castlebanny',,1627,1831,24.3,7.60E-02,3.93E-01,9.34E+00,3.7392,0,0.934257708,110,177.9999999,1,1,,110,TRUE,999,1.102214151,503,210
 'Castlebanny' to    'Kilkenny',,1831,1589,24.9,7.60E-02,3.93E-01,9.34E+00,3.7392,0,0.934257708,110,177.9999999,1,1,,110,TRUE,998,1.102214151,502,210
