name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,,g_us_per_km,max_i_ka,kv_from,MVA_sp,df,parallel,type,max_loading_percent,in_service,line_id,wp_max_i_ka,,MVA_wp
 'Ballaghadree' to     'Biocore',,212,213,0.18,4.72E-02,0.11,0,0.008496,0,0.669726312,10,11.6,1,1,,110,TRUE,913,0.692820323,,12
     'Roosky' to  'Ballaghadree',,216,212,4.5,1.88E-01,2.95E-01,1.41E+02,0.846,0,0.409918691,10,7.099999998,1,1,,110,TRUE,912,0.519615242,,9
     'Tonroe' to  'Ballaghadree',,217,214,0.18,8.10E-02,1.60E-01,3.68E+02,0.01458,0,0.670030181,38,44.10000001,1,1,,110,TRUE,911,0.668510838,,44
 'Thornsberry' to        'Srah',,225,222,3.69,1.46E-01,2.97E-01,8.38E+01,0.53874,0,0.45884153,38,30.20000002,1,1,,110,TRUE,910,0.592543697,,39
 'Thornsberry' to     'Lehinch',,225,221,1.8,1.12E+00,1.444,2.45E+01,2.016,0,0.151934281,38,9.999999976,1,1,,110,TRUE,909,0.151934281,,10
  'TULLAROAN' to      'ANCNOC',,231,227,2,0.22,0.35,1.99E+01,0.44,0,0.411939417,20,14.27,1,1,,110,TRUE,908,0.519615242,,18
  'TULLAROAN' to   'HOMESHILL',,232,229,5.2,1.52E-01,2.28E-01,1.99E+02,0.7904,0,0.411939417,20,14.27,1,1,,110,TRUE,907,0.519615242,,18
 'URLINGFORD' to   'TULLAROAN',,235,233,0.001,5,10,3.18E+04,0.005,0,0.577350269,38,37.99999999,1,1,,110,TRUE,906,0.744477979,,49
    'Thurles' to   'GLENGOOLE',,239,237,13.3,3.73E-01,3.92E-01,9.28E+00,4.9609,0,0.154972967,38,10.2,1,1,,110,TRUE,905,0.319061991,,21
    'Thurles' to  'URLINGFORD',,239,235,29.53,4.70E-02,1.10E-01,2.90E+02,1.38791,0,0.670030181,38,44.10000001,1,1,,110,TRUE,904,0.668510838,,44
  'GLENGOOLE' to   'GLENGOOLE',,240,238,3.2,0.22,0.35,2.49E+01,0.704,0,0.411939417,20,14.27,1,1,,110,TRUE,903,0.519615242,,18
  'GLENGOOLE' to     'GURTEEN',,240,236,2.6,0.22,3.50E-01,3.05E+01,0.572,0,0.411939417,20,14.27,1,1,,110,TRUE,902,0.519615242,,18
    'CAUTEEN' to  'CAPPAG WHIT',,271,266,9,4.70E-02,1.10E-01,2.92E+02,0.423,0,0.670030181,38,44.10000001,1,1,,110,TRUE,901,0.668510838,,44
    'Cauteen' to     'Cauteen',,273,275,0.001,5,10,3.18E+04,0.005,0,0.670030181,38,44.10000001,1,1,,110,TRUE,900,0.668510838,,44
    'Cauteen' to  'Cappagh Whit',,273,268,21.5,4.70E-02,1.10E-01,2.90E+02,1.0105,0,0.670030181,38,44.10000001,1,1,,110,TRUE,899,0.668510838,,44
    'CAUTEEN' to  'GLENCARBRY',,276,261,11.5,1.22E-01,3.56E-01,1.02E+01,1.403,0,0.577350269,38,37.99999999,1,1,,110,TRUE,898,0.744477979,,49
    'CAUTEEN' to    'GLENLOUG',,276,260,21,4.70E-02,1.10E-01,2.89E+02,0.987,0,0.670030181,38,44.10000001,1,1,,110,TRUE,897,0.668510838,,44
 'Abbeyfeale' to  'AbbeyfealeX',,279,302,7.25,3.73E-01,3.92E-01,1.22E+01,2.70425,0,0.384393732,38,25.30000001,1,1,,110,TRUE,896,0.455802844,,30
 'Abbeyfeale' to  'Gortnacloghy',,279,80,15.2,2.20E-01,3.50E-01,1.02E+01,3.344,0,0.510499185,38,33.59999997,1,1,,110,TRUE,895,0.607737126,,40
 'Curraghderri' to  'Curraghderri',,284,295,3.1,2.20E-01,3.50E-01,1.42E+01,0.682,0,0.510499185,38,33.59999997,1,1,,110,TRUE,894,0.607737126,,40
 'Ballybunion' to  'Curraghderri',,288,284,4.2,2.20E-01,3.50E-01,1.05E+01,0.924,0,0.510499185,38,33.59999997,1,1,,110,TRUE,893,0.607737126,,40
    'Smearla' to  'Ballybunion',,290,288,18.5,3.73E-01,3.92E-01,9.56E+00,6.9005,0,0.384393732,38,25.30000001,1,1,,110,TRUE,892,0.455802844,,30
      'Trien' to  'Tournafulla',,296,293,4,4.73E-02,1.10E-01,2.92E+02,0.1892,0,0.670030181,38,44.10000001,1,1,,110,TRUE,891,0.668510838,,44
      'Trien' to  'Knockawarrig',,296,291,4,4.73E-02,1.10E-01,2.92E+02,0.1892,0,0.670030181,38,44.10000001,1,1,,110,TRUE,890,0.668510838,,44
      'Trien' to       'Trien',,299,296,0.001,5,10,3.18E+04,0.005,0,0.670030181,38,44.10000001,1,1,,110,TRUE,889,0.668510838,,44
 'AbbeyfealeX' to  'Tournafulla1',,302,298,2.5,3.73E-01,3.92E-01,1.77E+01,0.9325,0,0.240056165,38,15.80000003,1,1,,110,TRUE,888,0.349448847,,23
      'Trien' to     'Smearla',,303,290,1.5,1.22E-01,3.56E-01,1.47E+01,0.183,0,0.774864835,38,51,1,1,,110,TRUE,887,0.911605688,,60
      'Trien' to  'Abbeyfeale',,303,279,9.6,3.73E-01,3.92E-01,1.15E+01,3.5808,0,0.384393732,38,25.30000001,1,1,,110,TRUE,886,0.455802844,,30
 'Tawnaghmore' to  'Tawnaghmore',,309,308,0.4,5.05E-02,1.12E-01,3.30E+02,0.0202,0,0.670030181,38,44.10000001,1,1,,110,TRUE,885,0.668510838,,44
 'KILRUSH 38' to   'KILKEE 38',,314,312,12.7,3.73E-01,3.92E-01,9.35E+01,4.7371,0,0.154972967,38,10.2,1,1,,110,TRUE,884,0.319061991,,21
  'Tulabrack' to  'TULLAWF 38',,319,316,0.81,4.81E-02,1.11E-01,2.99E+02,0.038961,0,0.670030181,38,44.10000001,1,1,,110,TRUE,883,0.668510838,,44
  'Tulabrack' to  'KILRUSH 38',,319,314,3.2,3.73E-01,3.92E-01,8.93E+00,1.1936,0,0.154972967,38,10.2,1,1,,110,TRUE,882,0.319061991,,21
  'KILKEE 10' to  'CARROWNA 10',,321,318,10,0.165,0.2625,12.7324062,1.65,0,577.2925342,10,9999.000001,1,1,,110,TRUE,881,577.2925341,,9999
   'Kilmoney' to  'Shanagraigue',,331,330,1.6,2.20E-01,3.50E-01,1.38E+01,0.352,0,0.510499185,38,33.59999997,1,1,,110,TRUE,880,0.607737126,,40
     'Trabeg' to    'Kilmoney',,332,331,10.04,1.18E-01,3.05E-01,8.10E+01,1.18472,0,0.443648102,38,29.20000003,1,1,,110,TRUE,879,0.592543697,,39
   'SOMERSET' to      'Lisbeg',,357,355,12.5,8.49E-02,1.05E-01,3.70E+02,1.06125,0,0.522501994,20,18.10000001,1,1,,110,TRUE,878,0.519615242,,18
   'Somerset' to  'SonnaghOld',,361,359,25.8,3.73E-01,3.92E-01,9.42E+00,9.6234,0,0.299310534,38,19.69999998,1,1,,110,TRUE,877,0.395029132,,26
   'Somerset' to  'Ballycrissan',,361,356,13.4,3.73E-01,3.92E-01,9.90E+00,4.9982,0,0.384393732,38,25.30000001,1,1,,110,TRUE,876,0.455802844,,30
 'Glackmore_Hi' to  'Glackmore_Hi',,367,366,0.001,5,10,3.18E+04,0.005,0,835.902781,0.69,998.9999999,1,1,,110,TRUE,875,835.9027811,,999
 'Glackmore_Hi' to  'Glackmore_Hi' 2,,367,365,0.001,5,10,3.18E+04,0.005,0,835.902781,0.69,998.9999999,1,1,,110,TRUE,874,835.9027811,,999
 'Glackmore Hi' to  'Three Trees',,375,374,1,0.22,3.50E-01,7.95E+01,0.22,0,0.411939417,20,14.27,1,1,,110,TRUE,873,0.519615242,,18
 'Glackmore Hi' to  'Single Turbi',,375,364,0.79,1.64E-01,1.95E-01,3.03E+02,0.12956,0,0.317542648,20,11,1,1,,110,TRUE,872,0.317542648,,11
 'Sorne Hill 2' to  'Glackmore Hi',,378,375,7.6,5.32E-04,1.05E-03,0,0.0040432,0,0.411939417,20,14.27,1,1,,110,TRUE,871,0.519615242,,18
 'Sorne Hill 3' to   'Flughland',,379,377,7.2,5.61E-04,1.11E-03,0,0.0040392,0,0.411939417,20,14.27,1,1,,110,TRUE,870,0.519615242,,18
 'Sorne Hill 3' to  'Meenkeeragh',,379,376,1.65,2.45E-03,4.85E-03,0,0.0040425,0,0.411939417,20,14.27,1,1,,110,TRUE,869,0.519615242,,18
 'Manorhamilto' to    'Faughary',,383,385,6.4,0.22,0.35,2.49E+01,1.408,0,0.411939417,20,14.27,1,1,,110,TRUE,868,0.519615242,,18
 'Manorhamilto' to  'Carric ph1',,383,382,4.1,2.20E-01,3.50E-01,1.94E+01,0.902,0,0.411939417,20,14.27,1,1,,110,TRUE,867,0.519615242,,18
      'Sligo' to    'Sligo38b',,386,384,26.2,3.73E-01,3.92E-01,1.01E+01,9.7726,0,0.240056165,38,15.80000003,1,1,,110,TRUE,866,0.349448847,,23
 'Manorhamilto' to  'Manorhamilto',,387,383,2.5,2.20E-01,3.50E-01,3.18E+01,0.55,0,0.411939417,20,14.27,1,1,,110,TRUE,865,0.519615242,,18
   'Shankill' to    'Shankill' 2,,394,391,24.79,3.72E-01,3.91E-01,1.07E+01,9.22188,0,0.522501994,20,18.10000001,1,1,,110,TRUE,864,0.519615242,,18
   'Shankill' to     'SHANKIL',,398,397,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,863,151.9190879,,9999
   'Shankill' to    'Shankill',,398,396,1.3,8.49E-02,1.05E-01,4.28E+02,0.11037,0,0.384393732,38,25.30000001,1,1,,110,TRUE,862,0.455802844,,30
   'Shankill' to  'Carrickallen',,398,392,8.885,1.69E-01,2.79E-01,9.42E+01,1.501565,0,0.510499185,38,33.59999997,1,1,,110,TRUE,861,0.607737126,,40
   'Salthill' to    'Leitir G',,404,402,9.3,4.70E-02,1.10E-01,2.92E+02,0.4371,0,0.670030181,38,44.10000001,1,1,,110,TRUE,860,0.668510838,,44
 'Edgeworthsto' to  'Lisnageeragh',,421,420,0.7,2.21E-01,3.51E-01,3.15E+01,0.1547,0,0.510499185,38,33.59999997,1,1,,110,TRUE,859,0.607737126,,40
   'Longford' to  'Edgeworthsto',,422,421,5,1.22E-01,3.56E-01,1.32E+01,0.61,0,0.774864835,38,51,1,1,,110,TRUE,858,0.911605688,,60
   'Richmond' to    'Longford',,423,422,5,1.22E-01,3.56E-01,1.32E+01,0.61,0,0.774864835,38,51,1,1,,110,TRUE,857,0.911605688,,60
 'GrouseLodge' to     'Carrons',,430,429,2.4,3.73E-01,3.92E-01,1.84E+01,0.8952,0,0.299310534,38,19.69999998,1,1,,110,TRUE,856,0.395029132,,26
 'NewcastleWes' to  'Rathcahill',,433,431,10.2,3.73E-01,3.92E-01,1.08E+01,3.8046,0,0.384393732,38,25.30000001,1,1,,110,TRUE,855,0.455802844,,30
  'Rathkeale' to  'NewcastleWes',,435,433,13.13,3.72E-01,3.94E-01,6.72E+00,4.88436,0,0.249172221,38,16.39999997,1,1,,110,TRUE,854,0.334255419,,22
  'Rathkeale' to  'GrouseLodge',,435,430,9,1.22E-01,3.56E-01,1.23E+01,1.098,0,0.577350269,38,37.99999999,1,1,,110,TRUE,853,0.744477979,,49
  'Rathkeale' to    'Askeaton',,435,428,8.49,3.73E-01,3.92E-01,1.04E+01,3.16677,0,0.384393732,38,25.30000001,1,1,,110,TRUE,852,0.455802844,,30
  'Rathkeale' to  'McDonnell_Fa',,435,38,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,851,151.9190879,,9999
 'Dublin waste' to  'Dublin_waste',,438,441,0.001,5,10,3.18E+04,0.005,0,174.7796724,3.3,999,1,1,,110,TRUE,850,174.7796724,,999
  'Lisdowney' to  'Lisdowne_ph1',,456,65,5.5,2.20E-01,3.50E-01,2.90E+01,1.21,0,0.411939417,20,14.27,1,1,,110,TRUE,849,0.519615242,,18
 'Portarlingto' to   'Shanderry',,457,454,1.1,7.78E-02,0.1,5.79E+02,0.08558,0,0.577350269,10,9.999999997,1,1,,110,TRUE,848,0.577350269,,10
 'Portlaoise' to     'portlao',,460,459,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,847,151.9190879,,9999
 'Portlaoise' to  'Ballyconra',,460,455,2.6,2.20E-01,3.50E-01,1.70E+01,0.572,0,0.510499185,38,33.59999997,1,1,,110,TRUE,846,0.607737126,,40
 'Portlaoise' to      'Dooray',,460,452,16.5,4.71E-02,1.10E-01,2.90E+02,0.77715,0,0.670030181,38,44.10000001,1,1,,110,TRUE,845,0.668510838,,44
 'Portlaoise' to  'Portarlingto',,460,451,20,1.22E-01,3.56E-01,1.10E+01,2.44,0,0.774864835,38,51,1,1,,110,TRUE,844,0.911605688,,60
 'Poppintree' to  'Poppintree',,472,471,0.001,5,10,3.18E+04,0.005,0,0.669726312,10,11.6,1,1,,110,TRUE,843,0.692820323,,12
 'BlackLough' to  'BlackLough',,476,475,9.5,1.23E-01,1.79E-01,2.53E+02,1.1685,0,0.411939417,20,14.27,1,1,,110,TRUE,842,0.519615242,,18
    'Glenree' to     'Glenree' 2,,481,479,4.85,1.22E-01,3.56E-01,1.36E+01,0.5917,0,0.670030181,38,44.10000001,1,1,,110,TRUE,841,0.668510838,,44
    'Glenree' to     'Glenree',,481,477,1,4.77E-02,1.10E-01,3.09E+02,0.0477,0,0.577350269,38,37.99999999,1,1,,110,TRUE,840,0.744477979,,49
   'Milltown' to       'Maine',,487,484,3.2,0.22,0.35,2.49E+01,0.704,0,0.411939417,20,14.27,1,1,,110,TRUE,839,0.519615242,,18
  'Oughtragh' to    'Milltown',,488,486,1.5,1.22E-01,3.56E-01,1.47E+01,0.183,0,0.683704266,38,44.99999999,1,1,,110,TRUE,838,0.850831976,,56
      'Kells' to  'Farrelly_Bro',,509,37,1,3.74E-01,3.93E-01,2.20E+01,0.374,0,0.384393732,38,25.30000001,1,1,,110,TRUE,837,0.455802844,,30
      'Kells' to       'Kells',,510,509,6,3.73E-01,3.92E-01,1.10E+01,2.238,0,0.384393732,38,25.30000001,1,1,,110,TRUE,836,0.455802844,,30
        'J28' to       'Kells',,511,510,7.1,3.73E-01,3.92E-01,9.28E+00,2.6483,0,0.578869612,38,38.1,1,1,,110,TRUE,835,0.774864835,,51
      'Navan' to      'Athboy',,515,512,20,3.73E-01,3.92E-01,9.90E+00,7.46,0,0.384393732,38,25.30000001,1,1,,110,TRUE,834,0.455802844,,30
      'Navan' to         'J28',,515,511,5.1,1.22E-01,3.86E-01,4.32E+00,0.6222,0,0.443648102,38,29.20000003,1,1,,110,TRUE,833,0.683704266,,45
 'Crowinstown' to  'Crowinstown',,516,513,7.15,2.20E-01,3.50E-01,2.22E+01,1.573,0,0.411939417,20,14.27,1,1,,110,TRUE,832,0.519615242,,18
 'Morristown' to  'Pollardstown',,523,521,1.5,0.22,0.35,2.12E+02,0.33,0,0.409918691,10,7.099999998,1,1,,110,TRUE,831,0.519615242,,9
  'Newbridge' to  'Morristown',,524,522,1.83,1.07E-01,3.04E-01,7.20E+01,0.19581,0,0.670030181,38,44.10000001,1,1,,110,TRUE,830,0.668510838,,44
 'Croaghnameal' to  'Meenadreen S',,532,531,2.64,0.22,0.35,3.03E+01,0.5808,0,0.411939417,20,14.27,1,1,,110,TRUE,829,0.519615242,,18
 'Meenadreen' to  'Croaghnameal',,533,532,0.77,2.20E-01,3.50E-01,1.03E+02,0.1694,0,0.411939417,20,14.27,1,1,,110,TRUE,828,0.519615242,,18
 'Meenadreen' to  'Croaghbr_ph1',,534,138,2.9,2.20E-01,3.50E-01,1.52E+01,0.638,0,0.510499185,38,33.59999997,1,1,,110,TRUE,827,0.607737126,,40
    'Monread' to  'Kerdiffstown',,540,539,0.55,7.78E-02,0.1,5.79E+02,0.04279,0,0.577350269,10,9.999999997,1,1,,110,TRUE,826,0.577350269,,10
    'Monread' to  'Bodenstown',,540,538,0.4,0.22,0.35,7.96E+02,0.088,0,0.409918691,10,7.099999998,1,1,,110,TRUE,825,0.519615242,,9
  'Mullingar' to  'Ballinderry',,557,556,4.8,3.04E-03,6.02E-03,0,0.014592,0,151.9190879,38,9998.999998,1,1,,110,TRUE,824,151.9190879,,9999
  'Mullingar' to   'Mullingar',,558,557,5.3,4.71E-02,1.10E-01,2.91E+02,0.24963,0,0.670030181,38,44.10000001,1,1,,110,TRUE,823,0.668510838,,44
 'Tullynamalra' to   'Mullinalt',,581,576,6.7,3.15E-01,3.42E-01,6.25E+01,2.1105,0,0.384393732,38,25.30000001,1,1,,110,TRUE,822,0.455802844,,30
 'Kingscourt' to      'Raragh',,586,587,4.9,3.73E-01,3.92E-01,1.35E+01,1.8277,0,0.384393732,38,25.30000001,1,1,,110,TRUE,821,0.455802844,,30
 'Kingscourt' to  'Bailieboro',,586,583,12.9,3.69E-01,4.00E-01,0,4.7601,0,0.249172221,38,16.39999997,1,1,,110,TRUE,820,0.334255419,,22
        'J26' to  'Kingscourt',,589,586,0.001,5,10,3.18E+04,0.005,0,15.17823471,38,999.0000001,1,1,,110,TRUE,819,15.17823471,,999
        'J26' to  'Gartnaneane',,589,582,23.8,3.73E-01,3.92E-01,9.28E+00,8.8774,0,0.154972967,38,10.2,1,1,,110,TRUE,818,0.303868563,,20
 'Carrickmacro' to  'Tullynamalra',,591,581,10,3.73E-01,3.92E-01,1.10E+01,3.73,0,0.154972967,38,10.2,1,1,,110,TRUE,817,0.319061991,,21
 'Bailieboro' to  'Teevurcher',,594,584,5.15,8.08E-01,1.27E+00,1.55E+01,4.1612,0,0.411939417,20,14.27,1,1,,110,TRUE,816,0.519615242,,18
  'MeathHill' to       'Cregg',,595,596,4.4,3.73E-01,3.92E-01,1.00E+01,1.6412,0,0.384393732,38,25.30000001,1,1,,110,TRUE,815,0.455802844,,30
  'MeathHill' to  'Carrickmacro',,595,591,11.1,3.19E-01,3.84E-01,9.90E+00,3.5409,0,0.577350269,38,37.99999999,1,1,,110,TRUE,814,0.744477979,,49
  'MeathHill' to         'J26',,595,589,3.8,1.27E-01,3.56E-01,1.16E+01,0.4826,0,0.510499185,38,33.59999997,1,1,,110,TRUE,813,0.607737126,,40
  'Barnakyle' to   'Barnakyle',,609,608,0.001,5,10,3.18E+04,0.005,0,288.6462671,20,9999.000001,1,1,,110,TRUE,812,288.6462671,,9999
 'Kennystown' to  'ballaman 20',,620,611,0.6,8.53E-02,1.05E-01,3.98E+02,0.05118,0,0.522501994,20,18.10000001,1,1,,110,TRUE,811,0.519615242,,18
 'Kennystown' to  'BALLYDUFF 20',,620,610,4.65,8.49E-02,1.05E-01,3.78E+02,0.394785,0,0.522501994,20,18.10000001,1,1,,110,TRUE,810,0.519615242,,18
 'BALLYNA MIDD' to  'BALLYNA 20',,621,619,1.7,0.22,0.35,1.87E+01,0.374,0,0.411939417,20,14.27,1,1,,110,TRUE,809,0.519615242,,18
 'BALLYNA MIDD' to  'KNOCHNA 20',,621,618,0.8,0.078,0.1,3.98E+02,0.0624,0,0.522501994,20,18.10000001,1,1,,110,TRUE,808,0.519615242,,18
 'LODGEWOOD 1' to  'Ballycadden',,625,623,10.5,3.89E-02,5.00E-02,7.05E+02,0.40845,0,0.819837382,20,28.39999999,1,1,,110,TRUE,807,0.808290377,,28
 'LODGEWOOD 1' to  'GILBEET 20',,625,622,13.8,3.89E-02,5.00E-02,7.03E+02,0.53682,0,0.819837382,20,28.39999999,1,1,,110,TRUE,806,0.808290377,,28
 'LODGEWOOD 1' to  'BALLYNA MIDD',,625,621,12,7.78E-02,0.1,3.50E+02,0.9336,0,0.522501994,20,18.10000001,1,1,,110,TRUE,805,0.519615242,,18
 'LODGEWOOD 1' to  'Kennystown',,625,620,5.7,8.49E-02,1.05E-01,3.78E+02,0.48393,0,0.522501994,20,18.10000001,1,1,,110,TRUE,804,0.519615242,,18
    'LISHEEN' to    'BRUCKANA',,632,630,1.6,1.22E-01,3.56E-01,9.63E+00,0.1952,0,0.577350269,38,37.99999999,1,1,,110,TRUE,803,0.744477979,,49
    'Milford' to  'Garrymor_ph1',,650,64,5.2,2.15E-01,3.41E-01,4.60E+01,1.118,0,0.411939417,20,14.27,1,1,,110,TRUE,802,0.519615242,,18
 'Letterkenny' to     'Milford',,654,652,28.1,3.01E-01,3.56E-01,3.37E+01,8.4581,0,0.510499185,38,33.59999997,1,1,,110,TRUE,801,0.607737126,,40
 'Letterkenny' to  'Lettergu_ph1',,654,87,12,3.59E-01,3.80E-01,2.20E+01,4.308,0,0.159530995,38,10.49999997,1,1,,110,TRUE,800,0.303868563,,20
    'Lisdrum' to  'Coolberrin',,662,101,18.2,2.14E-01,3.42E-01,1.94E+01,3.8948,0,0.510499185,38,33.59999997,1,1,,110,TRUE,799,0.607737126,,40
   'Limerick' to  'Patrickswell',,669,668,7.13,2.07E-01,2.68E-01,3.12E+02,1.47591,0,0.384393732,38,25.30000001,1,1,,110,TRUE,798,0.455802844,,30
     'LouthB' to      'LouthA',,674,1565,0.001,5,10,3.18E+04,0.005,0,5.243390172,110,999,1,1,,110,TRUE,797,5.243390172,na,999
     'LouthB' to  'Meath Hill',,674,1542,15.1,1.88E-01,4.17E-01,8.51E+00,2.8388,0,0.519615242,110,98.99999995,1,1,,110,TRUE,796,0.635085296,442,121
  'Lanesboro' to   'Roscommon',,681,680,12.88,2.16E-01,3.37E-01,2.91E+01,2.78208,0,0.249172221,38,16.39999997,1,1,,110,TRUE,795,0.334255419,,22
  'Lanesboro' to    'Aghamore',,681,678,0.1,10,20,4.41E+02,1,0,0.670030181,38,44.10000001,1,1,,110,TRUE,794,0.668510838,,44
     'Kelwin' to      'KELWIN',,686,685,14,3.55E-02,8.28E-02,3.84E+02,0.497,0,0.771549905,33,44.09999999,1,1,,110,TRUE,793,0.769800359,,44
 'Kilpaddoge' to     'Tarbert',,687,1457,1.61,1.28E-01,4.21E-01,9.83E+00,0.20608,0,0.918511792,220,350,1,1,,110,FALSE,792,1.144203261,306,436
 'Kilpaddoge20' to  'KilpaddogeWF',,688,93,5.1,8.49E-02,1.05E-01,3.75E+02,0.43299,0,0.522501994,20,18.10000001,1,1,,110,TRUE,791,0.519615242,,18
   'Rathmore' to  'Gneeves ph1',,702,701,10.88,2.56E-01,2.91E-01,1.11E+02,2.78528,0,0.384393732,38,25.30000001,1,1,,110,TRUE,790,0.455802844,,30
      'Lacka' to    'Rathmore',,703,702,8.4,3.73E-01,3.92E-01,1.05E+01,3.1332,0,0.384393732,38,25.30000001,1,1,,110,TRUE,789,0.455802844,,30
      'Lacka' to  'Adambridge_M',,703,36,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,788,151.9190879,,9999
 'Knockeragh' to       'Lacka',,705,703,20.43,1.22E-01,3.56E-01,1.08E+01,2.49246,0,0.774864835,38,51,1,1,,110,TRUE,787,0.911605688,,60
 'Knockeragh' to  'Nancy Falls',,705,698,1,2.21E-01,3.51E-01,2.20E+01,0.221,0,0.510499185,38,33.59999997,1,1,,110,TRUE,786,0.607737126,,40
  'Killonan2' to    'Limerick',,707,1563,11.7,1.85E-01,4.10E-01,2.00E+01,2.1645,0,0.419891105,110,80.00000003,1,1,,110,TRUE,785,0.577350269,440,110
   'Kilkenny' to    'kilkenny',,712,711,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,784,151.9190879,,9999
    'Reamore' to  'Knocknagoum',,718,717,1,4.77E-02,1.10E-01,3.09E+02,0.0477,0,0.670030181,38,44.10000001,1,1,,110,TRUE,783,0.668510838,,44
    'Reamore' to  'Reamore38b',,724,722,1.53,4.72E-02,1.10E-01,3.03E+02,0.072216,0,0.670030181,38,44.10000001,1,1,,110,TRUE,782,0.668510838,,44
    'Reamore' to  'Muingatlaunl',,724,721,16.9,4.71E-02,1.10E-01,2.91E+02,0.79599,0,0.670030181,38,44.10000001,1,1,,110,TRUE,781,0.668510838,,44
    'Kilteel' to     'kilteel',,732,731,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,780,151.9190879,,9999
    'Kilteel' to  'Blessington',,732,730,7.31,3.73E-01,3.92E-01,1.20E+01,2.72663,0,0.240056165,38,15.80000003,1,1,,110,TRUE,779,0.349448847,,23
     'Kilnap' to   'Knockraha',,739,1594,12.5,1.77E-01,4.14E-01,8.60E+00,2.2125,0,0.519615242,110,98.99999995,1,1,,110,TRUE,778,0.635085296,439,121
     'Kilnap' to      'Marina',,739,1526,4,7.87E-02,3.93E-01,9.83E+00,0.3148,0,0.629836657,110,119.9999999,1,1,,110,TRUE,777,1.102214151,438,210
     'Kilnap' to      'Mallow',,739,1522,29.2,7.62E-02,3.93E-01,9.26E+00,2.22504,0,0.703317601,110,134.0000001,1,1,,110,FALSE,776,0.834533571,437,159
   'Kilbarry' to  'Whitechurch',,740,738,1,3.74E-01,3.93E-01,2.20E+01,0.374,0,0.240056165,38,15.80000003,1,1,,110,TRUE,775,0.349448847,,23
 'Ikerrin' to    'Timoney',,752,25,1.5,8.15E-02,3.93E-01,9.26E+00,0.12225,0,0.934257708,110,177.9999999,1,1,,110,TRUE,774,1.102214151,436,210
    'Ikerrin' to     'ROSCREA',,754,753,6.15,2.30E-01,2.68E-01,1.32E+02,1.4145,0,0.154972967,38,10.2,1,1,,110,TRUE,773,0.319061991,,21
    'Ikerrin' to    'MONAINCH',,754,750,4.1,2.20E-01,3.50E-01,1.07E+01,0.902,0,0.510499185,38,33.59999997,1,1,,110,TRUE,772,0.607737126,,40
  'INCHICORE' to   'Inchicore',,756,1605,0.001,5,10,3.18E+04,0.005,0,1.997107068,220,761.0000002,1,1,,110,TRUE,771,2.104704163,na,802
  'INCHICORE' to  'Poolbeg Sout' 2,,756,1496,12.5,3.91E-02,1.66E-01,262.0022877,0.48875,0,0.921136111,220,350.9999999,1,1,,110,TRUE,770,0.921136111,434,351
  'INCHICORE' to  'Poolbeg Sout',,756,1496,11.3,4.33E-02,1.37E-01,419.9755615,0.48929,0,0.700693281,220,266.9999999,1,1,,110,TRUE,769,0.700693281,434,267
   'Glenlara' to   'Dromalour',,770,769,0.5,3.75E-01,3.93E-01,4.41E+01,0.1875,0,0.240056165,38,15.80000003,1,1,,110,TRUE,768,0.349448847,,23
 'GLENLARA W' to    'Glenlara',,771,770,16,4.70E-02,1.10E-01,2.91E+02,0.752,0,0.670030181,38,44.10000001,1,1,,110,TRUE,767,0.668510838,,44
  'Hemsbrook' to    'Glenlara',,772,770,14,4.70E-02,1.10E-01,2.89E+02,0.658,0,0.670030181,38,44.10000001,1,1,,110,TRUE,766,0.668510838,,44
   'Glenlara' to  'Knockacummer',,774,1576,11.315,3.22E-02,1.39E-01,2.88E+02,0.364343,0,0.640333935,110,122,1,1,,110,TRUE,765,0.640333935,433,122
    'Clogher' to  'Croaghnagawn',,777,1450,18,7.66E-02,3.93E-01,9.34E+00,1.3788,0,0.934257708,110,177.9999999,1,1,,110,TRUE,764,1.102214151,432,210
    'Clogher' to     'Clogher',,777,776,0.001,5,10,3.18E+04,0.005,0,52.48113947,110,9999,1,1,,110,TRUE,763,52.48113947,na,9999
 'Grange Castl' to  'Grange Castl',,781,780,0.001,5,10,3.18E+04,0.005,0,577.2925342,10,9999.000001,1,1,,110,TRUE,762,577.2925341,,9999
     'Galway' to      'Galway',,797,796,0.001,5,10,3.18E+04,0.005,0,2.081499655,38,137,1,1,,110,TRUE,761,2.491722215,,164
     'GARROW' to      'Garrow',,804,803,2.6,0.22,3.50E-01,3.05E+01,0.572,0,0.411939417,20,14.27,1,1,,110,TRUE,760,0.519615242,,18
     'Garrow' to    'COOMACHE',,806,805,1,0.244,0.64,103.4508004,0.244,0,288.6462671,20,9999.000001,1,1,,110,TRUE,759,288.6462671,,9999
