name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,
10205,1421,12.02,0.31,0,0,,1,TRUE,wye,Ardnacrusha
18402,1071,11.77,-0.44,0,0,,1,TRUE,wye,Crane
47004,423,11.72,0.98,0,0,,1,TRUE,wye,Richmond
26802,834,11.42,2.83,0,0,,1,TRUE,wye,Gilra
49604,398,11.36,0.81,0,0,,1,TRUE,wye,Shankill
14604,1228,11.29,-3.36,0,0,,1,TRUE,wye,Barrymore
42802,493,11.11,2.63,0,0,,1,TRUE,wye,Nangor
53204,225,10.77,1.01,0,0,,1,TRUE,wye,Thornsberry
16604,1134,10.56,-1.9,0,0,,1,TRUE,wye,Castlebar
22804,889,10.52,-0.48,0,0,,1,TRUE,wye,Dalton
53004,239,10.46,-1.49,0,0,,1,TRUE,wye,Thurles
43604,488,10.42,-1.52,0,0,,1,TRUE,wye,Oughtragh
33801,693,10.19,2.44,0,0,,1,TRUE,wye,Kinnegad
28602,780,10,3.286841052,0,0,,1,TRUE,wye,GrangeCastl
28611,778,10,3.286841052,0,0,,1,TRUE,wye,GrangeCastl
40404,550,9.96,-0.3,0,0,,1,TRUE,wye,Moy
22208,936,9.92,-1.83,0,0,,1,TRUE,wye,Dunmanway
20201,1006,9.86,3.25,0,0,,1,TRUE,wye,CityWest
42102,518,9.71,-0.1,0,0,,1,TRUE,wye,NorthQuays
32404,732,9.63,0.63,0,0,,1,TRUE,wye,Kilteel
37501,606,9.62,0,0,0,,1,TRUE,wye,MiseryHill
35604,664,9.59,1.23,0,0,,1,TRUE,wye,Lisdrum
46804,435,9.58,-0.75,0,0,,1,TRUE,wye,Rathkeale
31004,754,9.54,0.9,0,0,,1,TRUE,wye,Ikerrin
10902,1393,9.5,3.12,0,0,,1,TRUE,wye,Adamstown
47402,417,9.13,1.43,0,0,,1,TRUE,wye,Rinawade
52604,303,9.07,-2.56,0,0,,1,TRUE,wye,Trien
54801,175,9,5.1,0,0,,1,TRUE,wye,Whitegate
20402,1004,8.97,1.48,0,0,,1,TRUE,wye,Corduff
19610,1017,8.8,2.9,0,0,,1,TRUE,wye,Castleview
21604,974,8.75,0.26,0,0,,1,TRUE,wye,Doon
38001,603,8.42,1.19,0,0,,1,TRUE,wye,Midleton
13802,1268,8.25,1.6,0,0,,1,TRUE,wye,Barnahely
19504,1020,8.23,0.78,0,0,,1,TRUE,wye,Carrowbeg
17204,1106,8.2,0.15,0,0,,1,TRUE,wye,Cahir
13204,1307,8.19,-0.28,0,0,,1,TRUE,wye,Blake
42604,500,8.07,1.76,0,0,,1,TRUE,wye,Nenagh
19204,1028,8.03,0,0,0,,1,TRUE,wye,Cow_Cross
22501,898,8.03,1.05,0,0,,1,TRUE,wye,Dardistown
44001,472,8,0.22,0,0,,1,TRUE,wye,Poppintree
18604,1056,7.86,-0.04,0,0,,1,TRUE,wye,CarrickonS
36001,635,7.74,1.17,0,0,,1,TRUE,wye,LibertyStre
14304,1244,7.67,1.67,0,0,,1,TRUE,wye,Ballyragget
37601,605,7.66,2.97,0,0,,1,TRUE,wye,MaceESB
18304,1075,7.54,-1.68,0,0,,1,TRUE,wye,Screeb
53804,194,7.13,0.91,0,0,,1,TRUE,wye,Tipperary
51801,334,7.1,-0.09,0,0,,1,TRUE,wye,Trabeg
38804,572,6.98,-2.04,0,0,,1,TRUE,wye,Macroom
18204,1080,6.95,0,0,0,,1,TRUE,wye,Cloon
29401,763,6.78,2.23,0,0,,1,TRUE,wye,HaroldsCros
18804,1047,6.54,0.23,0,0,,1,TRUE,wye,Charleville
28204,788,6.37,1.25,0,0,,1,TRUE,wye,Gortawee
17004,1118,6.28,-0.2,0,0,,1,TRUE,wye,CathFall
13404,1300,6.09,1.17,0,0,,1,TRUE,wye,Binbane
53404,217,6.04,0.97,0,0,,1,TRUE,wye,Tonroe
45101,446,6.03,1.98,0,0,,1,TRUE,wye,PotteryRoad
13601,1275,5.99,1.67,0,0,,1,TRUE,wye,Ballydine
12201,1357,5.98,1.49,0,0,,1,TRUE,wye,Athy
12804,1329,5.89,-2.42,0,0,,1,TRUE,wye,Ballylickey
53604,207,5.76,0.62,0,0,,1,TRUE,wye,Trillick
29501,762,5.52,0.19,0,0,,1,TRUE,wye,HeustonSqua
27404,816,5.43,1.14,0,0,,1,TRUE,wye,GreatIsland
50901,343,5.41,0.08,0,0,,1,TRUE,wye,Singland
13501,1276,5.26,0.82,0,0,,1,TRUE,wye,Baroda
25901,852,5.05,0,0,0,,1,TRUE,wye,Fortunestown
50604,345,5.02,0,0,0,,1,TRUE,wye,Stratford
27805,796,4.99,-0.12,0,0,,1,TRUE,wye,Galway
34001,690,4.95,0.57,0,0,,1,TRUE,wye,Killoteran
28804,775,4.94,1.51,0,0,,1,TRUE,wye,Glenlara
15801,1174,4.92,1.57,0,0,,1,TRUE,wye,Cabra
40801,540,4.72,0.23,0,0,,1,TRUE,wye,Monread
22404,909,4.68,0.54,0,0,,1,TRUE,wye,Dallow
15704,1177,4.67,0.51,0,0,,1,TRUE,wye,Ardnagappary
39601,564,4.67,0.19,0,0,,1,TRUE,wye,Marina
16901,1119,4.67,-0.48,0,0,,1,TRUE,wye,CentralPark
16202,1169,4.61,0,0,0,,1,TRUE,wye,Coolroe
37602,604,4.58,0.55,0,0,,1,TRUE,wye,MaceIBM
35004,681,4.53,-0.1,0,0,,1,TRUE,wye,Lanesboro
12702,1334,4.47,-0.26,0,0,,1,TRUE,wye,Baltrasna
40602,545,4.46,1.33,0,0,,1,TRUE,wye,Mullagharlin
55002,173,4.3,0.12,0,0,,1,TRUE,wye,Wexford
46501,442,4.27,0.33,0,0,,1,TRUE,wye,Ringsend
38601,575,4.23,-0.29,0,0,,1,TRUE,wye,Milltown
18504,1059,4.19,-2.1,0,0,,1,TRUE,wye,Cherrywood
13001,1323,4.13,-0.54,0,0,,1,TRUE,wye,Ballybeg
44901,448,4,-0.57,0,0,,1,TRUE,wye,Pelletstown
15001,1214,3.95,0.98,0,0,,1,TRUE,wye,Brinny
52301,310,3.9,1.86,0,0,,1,TRUE,wye,Trinity
13604,1274,3.71,0.7,0,0,,1,TRUE,wye,Ballydine
32201,742,3.68,-0.03,0,0,,1,TRUE,wye,Kilbarry
27801,798,3.23,-0.08,0,0,,1,TRUE,wye,Galway
23002,880,3.23,0,0,0,,1,TRUE,wye,Dunfirth
50004,361,3.06,0.17,0,0,,1,TRUE,wye,Somerset
12001,1360,3.02,0.99,0,0,,1,TRUE,wye,Artane
51301,341,2.76,0,0,0,,1,TRUE,wye,Taney
49001,410,2.29,0.7,0,0,,1,TRUE,wye,SheltonAbbe
10901,1394,2.03,0.66,0,0,,1,TRUE,wye,Adamstown
14405,1240,2,0.6573,0,0,,1,TRUE,wye,Bandon
38701,574,1.99,-0.14,0,0,,1,TRUE,wye,Milltown
15402,1197,1.9,0.29,0,0,,1,TRUE,wye,Banoge
52204,319,1.82,-0.23,0,0,,1,TRUE,wye,Tulabrack
14002,1264,1.7,-0.1,0,0,,1,TRUE,wye,Bellacorick
14401,1243,1.69,0.2,0,0,,1,TRUE,wye,Bandon
50301,350,1.33,0,0,0,,1,TRUE,wye,Stephenstown
10801,1396,1.2,-0.32,0,0,,1,TRUE,wye,Ahane
10602,1403,0.89,-0.4,0,0,,1,TRUE,wye,Arigna
4341,1508,0.3,0.1,0,0,,1,TRUE,wye,Oldcourt
