name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,zone,slack_weight,min_p_mw,max_p_mw,bus_name,type,controllable,max_vm_pu,min_vm_pu,in_service_old_bess
Altcor Wind Farm,1277,0,1,,-2.96,2.96,1,FALSE,TRUE,1,0,0,9,,17,TRUE,1.1,0.9,
 'Meenadreen',1279,0,1,,-1.117525958,1.117525958,1,FALSE,TRUE,1,0,0,3.4,13479,17,TRUE,1.1,0.9,
   'KILLYBEG',1280,0,1.05,,-0.838144468,0.838144468,1,FALSE,TRUE,1,0,0,6.55,13477,17,TRUE,1.1,0.9,
   'MEENACHU',1281,0,1.05,,-3.911340852,3.911340852,1,FALSE,TRUE,1,0,0,11.9,13476,17,TRUE,1.1,0.9,
   'LOUGHDER',1282,0,1.05,,-2.514433405,2.514433405,1,FALSE,TRUE,1,0,0,7.65,13475,17,TRUE,1.1,0.9,
 'Killin_Hill',1283,0,1.05,,-1.972104631,1.972104631,1,FALSE,TRUE,1,0,0,6,13474,17,TRUE,1.1,0.9,
   'CORKERMO',1284,0,1.05,,-3.286841052,3.286841052,1,FALSE,TRUE,1,0,0,10,13473,17,TRUE,1.1,0.9,
 'SHANAGH_Kilc',1285,0,1.05,,-0.838144468,0.838144468,1,FALSE,TRUE,1,0,0,2.55,13472,17,TRUE,1.1,0.9,
 'Burtonport',1286,0,1.05,,-0.216931509,0.216931509,1,FALSE,TRUE,1,0,0,0.66,13471,17,TRUE,1.1,0.9,
   'Glenties',1291,4.3,1,,-1.626986321,1.626986321,1,FALSE,TRUE,1,0,0,4.3,13434,13,TRUE,1.1,0.9,
Clogheravaddy Wind Farm (Phase 3),1300,0,1,,-1.31,1.31,1,FALSE,TRUE,1,0,0,4,,17,TRUE,1.1,0.9,
Coguish Wind Turbine,1300,0,1,,-0.756,0.756,1,FALSE,TRUE,1,0,0,2.3,,17,TRUE,1.1,0.9,
Meenawley Wind Turbine,1300,0,1,,-1.64,1.64,1,FALSE,TRUE,1,0,0,4.5,,17,TRUE,1.1,0.9,
