name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,zone,slack_weight,min_p_mw,max_p_mw,bus_name,type,controllable,max_vm_pu,min_vm_pu,in_service_old_bess
Delamain Solar Farm,1664,0,1.05,,-69.0236621,69.0236621,1,FALSE,TRUE,11,0,0,210,,23,TRUE,1.1,0.9,
Rathdrinagh Solar Farm,1665,0,1,,-0.986052316,0.986052316,1,FALSE,FALSE,7,0,0,3,,23,TRUE,1.1,0.9,
Stamullen Solar Park,1665,0,1,,-1.314736421,1.314736421,1,FALSE,FALSE,7,0,0,4,,23,TRUE,1.1,0.9,
Glenamoy Solar,1665,0,1,,-6.573682104,6.573682104,1,FALSE,FALSE,7,0,0,20,,23,TRUE,1.1,0.9,
Horsepasture BESS,1667,0,1,105,-32.86841052,32.86841052,1,FALSE,TRUE,8,0,-100,100,,14,TRUE,1.1,0.9,
Powerscourt Battery Storage,1667,0,1,,-32.86841052,32.86841052,1,FALSE,TRUE,8,0,-100,100,,14,TRUE,1.1,0.9,
Clashnagoneen Solar Farm,1669,0,1,,-1.314736421,1.314736421,1,FALSE,FALSE,12,0,0,4,,23,TRUE,1.1,0.9,
Ardsallagh Solar Farm,1669,0,1,,-1.643420526,1.643420526,1,FALSE,FALSE,12,0,0,5,,23,TRUE,1.1,0.9,
Ballymac Solar,1669,0,1,,-9.860523156,9.860523156,1,FALSE,FALSE,12,0,0,30,,23,TRUE,1.1,0.9,
Ballymac BESS,1669,0,1,31.5,-9.860523156,9.860523156,1,FALSE,TRUE,12,0,-30,30,,14,TRUE,1.1,0.9,
Firgrove Solar Park,1671,0,1,,-1.314736421,1.314736421,1,FALSE,FALSE,4,0,0,4,,23,TRUE,1.1,0.9,
Knockranny WF,1674,0,1,,-15.7,15.7,1,FALSE,TRUE,2,0,0,47,,17,TRUE,1.1,0.9,
Cullenagh BESS,1683,0,1,105,-32.86841052,32.86841052,1,FALSE,TRUE,12,0,-100,100,,14,TRUE,1.1,0.9,
Coumaclovane Solar Extension,1686,0,1,,-2.300788736,2.300788736,1,FALSE,FALSE,5,0,0,7,,23,TRUE,1.1,0.9,
 'Barnacurragh Solar ',1699,0,1,,-16.43420526,16.4342,1,FALSE,TRUE,2,0,0,50,1821,23,TRUE,1.1,0.9,
Dernacart Wind,1703,0,1,,-18.93220446,18.93220446,1,FALSE,TRUE,11,0,0,57.6,,17,TRUE,1.1,0.9,
 'Treascon',1703,0,1,,-19.72104631,19.72104631,1,FALSE,TRUE,11,0,0,60,1791,23,TRUE,1.1,0.9,
Bishopswood,1703,0,1,,-8.217102629,8.217102629,1,FALSE,TRUE,11,0,0,25,1791,23,TRUE,1.1,0.9,
Springmount Solar,1709,0,1,,-21.32885939,21.32885939,1,FALSE,TRUE,8,0,0,65,,23,TRUE,1.1,0.9,
Barretspark Battery Storage,1718,0,1,,-32.86841052,32.86841052,1,FALSE,TRUE,2,0,-100,100,,14,TRUE,1.1,0.9,
An Screaban Solar,1726,0,1,,-1.643420526,1.643420526,1,FALSE,FALSE,1,0,0,5,,23,TRUE,1.1,0.9,
Carrigraigue Solar Extension,1728,0,1,,-3.77986721,3.77986721,1,FALSE,TRUE,5,0,0,11.5,,23,TRUE,1.1,0.9,
Ballinagree Wind Farm,1728,0,1,,-36.81261979,36.81261979,1,FALSE,TRUE,5,0,0,112,,17,TRUE,1.1,0.9,
Test BESS,1734,0,1,,-3.28684105,3.28684105,1,FALSE,FALSE,0,0,-10,10,,14,TRUE,1.1,0.9,
Hawkinstown,1734,0,1,,-27.89158536,27.89158536,1,FALSE,TRUE,7,0,0,85,14971,23,TRUE,1.1,0.9,
Sheskin South Wind Farm,1744,0,1.05,,-42.59746004,42.59746004,1,FALSE,TRUE,2,0,0,129.6,,17,TRUE,1.1,0.9,
Knocknamork wind,1761,0,1,,-13.8,13.8,1,FALSE,TRUE,5,0,0,42,,17,TRUE,1.1,0.9,
Knocknamork solar,1761,0,1,,-4.272893367,4.272893367,1,FALSE,TRUE,5,0,0,13,,23,TRUE,1.1,0.9,
Taduff storage,1766,0,1,105,-26.29472842,26.29472842,1,FALSE,TRUE,3,0,-80,80,,14,TRUE,1.1,0.9,
     'Taduff',1766,0,1,,-26.29472841,26.29472841,1,FALSE,TRUE,3,0,0,80,1141,23,TRUE,1.1,0.9,
Cuileen Power,1766,0,1,,-32.86841052,32.86841052,1,FALSE,TRUE,3,0,0,100,,9,TRUE,1.1,0.9,
Kish Crag Wicklow,1769,0,1,119.7,-37.46998799,37.46998799,1,FALSE,FALSE,9,0,-114,114,,14,FALSE,1.1,0.9,
Templemichael BESS,1769,0,1,21,-6.573682104,6.573682104,1,FALSE,TRUE,9,0,-20,20,,14,TRUE,1.1,0.9,
North Arklow Solar,1769,0,1,,-25,25,1,FALSE,TRUE,9,0,0,77,,23,TRUE,1.1,0.9,
Fahybeg Windfarms,1780,0,1,,-13.14736421,13.14736421,1,FALSE,TRUE,4,0,0,40,,17,TRUE,1.1,0.9,
Sligo BESS,1788,0,1,105,-32.86841052,32.86841052,1,FALSE,FALSE,2,0,-100,100,,14,TRUE,1.1,0.9,
Flagford BESS,1792,0,1,105,-32.86841052,32.86841052,1,FALSE,TRUE,2,0,-100,100,,14,TRUE,1.1,0.9,
Rosspile BESS,1794,0,1,105,-31.22498999,31.22498999,1,FALSE,TRUE,9,0,-100,100,,14,TRUE,1.1,0.9,
Lyrenacarriga WF,1795,0,1.05,,-27.931,27.931,1,FALSE,TRUE,12,0,0,85,91047,17,TRUE,1.1,0.9,
Rathnaskilloge BESS,1796,0,1.05,105,-31.22498999,31.22498999,1,FALSE,TRUE,12,0,-100,100,,14,TRUE,1.1,0.9,
 'Rathnaskilloge Solar',1796,0,1.05,,-31.22498999,31.22498999,1,FALSE,TRUE,12,0,0,95,47971,23,TRUE,1.1,0.9,
Derrinlough WF,1800,0,1.05,,-34.51183104,34.51183104,1,FALSE,TRUE,3,0,0,105,91047,17,TRUE,1.1,0.9,
 'Manusmore',1801,0,1,,-19.72104631,19.72104631,1,FALSE,TRUE,4,0,0,60,91048,23,TRUE,1.1,0.9,
Moyvilla solar farm,1801,0,1,,-27.89158536,27.89158536,1,FALSE,TRUE,4,0,0,85,91048,23,TRUE,1.1,0.9,
Manusmore phase 2,1801,0,1,,-19.6881779,19.6881779,1,FALSE,TRUE,4,0,0,60,91048,23,TRUE,1.1,0.9,
 'Clondardis',1802,0,1,,-19.72104631,19.72104631,1,FALSE,TRUE,3,0,0,59,91049,23,TRUE,1.1,0.9,
Clondardis solar (dso),1802,0,1,,-4,4,1,FALSE,TRUE,3,0,0,11.4,,23,TRUE,1.1,0.9,
 'Tomsallagh Solar ',1803,0,1,,-16.43420526,16.4342,1,FALSE,TRUE,9,0,0,50,91050,23,TRUE,1.1,0.9,
Yellow River,1804,0,1,,-37.46998799,37.46998799,1,FALSE,TRUE,11,0,0,110,,17,TRUE,1.1,0.9,
Carrownagowan,1805,0,1,,-32.86841052,32.86841052,1,FALSE,TRUE,4,0,0,91.2,,17,TRUE,1.1,0.9,
Coole Windfarm,1806,0,1,,-29.25288536,29.25288536,1,FALSE,TRUE,3,0,0,98,,17,TRUE,1.1,0.9,
Drehid WF,1807,0,1,,-19.72104631,19.72104631,1,FALSE,TRUE,3,0,0,60,,17,TRUE,1.1,0.9,
 'Kilbranish_f',1065,0,1,,-0.821710263,0.821710263,1,FALSE,TRUE,9,0,0,2.5,18472,17,TRUE,1.1,0.9,
Shrownoen,1809,0,1,,-17.38738916,17.38738916,1,FALSE,TRUE,5,0,0,50,,17,TRUE,1.1,0.9,
Ballylongford solar,1809,0,1,,-42.07156546,42.07156546,1,FALSE,TRUE,5,0,0,128,,23,TRUE,1.1,0.9,
Cushaling WF,1810,0,1,,-17.38738916,17.38738916,1,FALSE,TRUE,11,0,0,50,,17,TRUE,1.1,0.9,
Cushaling ESPS,1810,0,1,21,-8,8,1,FALSE,TRUE,11,0,-20,20,,14,TRUE,1.1,0.9,
Kilcush Solar,1810,0,1,,-17.38738916,17.38738916,1,FALSE,TRUE,11,0,0,50,,23,TRUE,1.1,0.9,
Dumlins WF,1811,0,1,,-17.38738916,17.38738916,1,FALSE,TRUE,7,0,0,49,,17,TRUE,1.1,0.9,
Dumlins BESS,1811,0,1,,-6.573682104,6.573682104,1,FALSE,TRUE,7,0,-20,20,,14,TRUE,1.1,0.9,
 Liss Wind Farm,1813,0,1,,-0.739539237,0.739539237,1,FALSE,TRUE,9,0,0,2.35,,17,TRUE,1.1,0.9,
 'Castledockri_3',1009,0,1.05,,-0.755973442,0.755973442,1,FALSE,TRUE,9,0,0,2.3,19972,17,TRUE,1.1,0.9,
Bracklyn Wind Farm,1814,0,1.05,,-21.29873002,21.29873002,1,FALSE,TRUE,11,0,0,64.8,,17,TRUE,1.1,0.9,
Bracklyn BESS,1814,0,1.05,26.25,-8.217102629,8.217102629,1,FALSE,TRUE,11,0,-25,25,,14,TRUE,1.1,0.9,
Ballivor Wind Farm,1814,0,1.05,,-59.82050715,59.82050715,1,FALSE,TRUE,11,0,0,182,,17,TRUE,1.1,0.9,
Castlelost Flexgen,1816,0,1,,-90.38812892,90.38812892,1,FALSE,TRUE,11,0,0,275,,9,TRUE,1.1,0.9,
Derrygreenagh,1818,0,1,,-197.2104631,197.2104631,1,FALSE,TRUE,11,0,0,600,,9,TRUE,1.1,0.9,
Coolcarrigan BESS,1819,0,1,84,-26.29472841,26.29472841,1,FALSE,TRUE,11,0,-80,80,,14,TRUE,1.1,0.9,
coolcarrigan PV,1819,0,1,,-39.44209262,39.44209262,1,FALSE,TRUE,11,0,0,120,,23,TRUE,1.1,0.9,
Rath Solar ph2,1820,0,1,,-23.41874249,23.41874249,1,FALSE,TRUE,3,0,0,71.25,,23,TRUE,1.1,0.9,
Rath Solar Farm,1820,0,1,,-31.5536741,31.5536741,1,FALSE,TRUE,3,0,0,96,,23,TRUE,1.1,0.9,
Kilcormac solar,1820,0,1,,-41.08551315,41.08551315,1,FALSE,TRUE,11,0,0,125,,23,TRUE,1.1,0.9,
Rath Solar extension,1820,0,1,,-15.75054232,15.75054232,1,FALSE,TRUE,3,0,0,48,,23,TRUE,1.1,0.9,
Clonymeath Solar,1821,0,1,,-25.96604431,25.96604431,1,FALSE,TRUE,11,0,0,79,,23,TRUE,1.1,0.9,
Clonymeath Solar ph 2,1821,0,1,,-1.25879019,1.25879019,1,FALSE,TRUE,11,0,0,4,,23,TRUE,1.1,0.9,
Culmullin Solar,1822,0,1,,-23.00788736,23.00788736,1,FALSE,TRUE,11,0,0,70,,23,TRUE,1.1,0.9,
Culmullin Solar extension,1822,0,1,,-39.44209262,39.44209262,1,FALSE,TRUE,11,0,0,120,,23,TRUE,1.1,0.9,
Blackhall Solar Farm,1823,0,1.05,,-54.56156147,54.56156147,1,FALSE,TRUE,11,0,0,166,,23,TRUE,1.1,0.9,
Millfarm Solar,1824,0,1,,-20.70709863,20.70709863,1,FALSE,TRUE,7,0,0,63,,23,TRUE,1.1,0.9,
   'CRONELEA_3',1033,0,1.05,,-0.558762979,0.558762979,1,FALSE,TRUE,9,0,0,1.7,19082,17,TRUE,1.1,0.9,
Coom Green wind,1826,0,1,,-39.77077673,39.77077673,1,FALSE,TRUE,11,0,0,121,,17,TRUE,1.1,0.9,
Coom Green BESS,1826,0,1,60,-16.43420526,16.43420526,1,FALSE,TRUE,11,0,-50,50,,14,TRUE,1.1,0.9,
Garr Solar,1829,0,1,,-27.93814894,27.93814894,1,FALSE,TRUE,11,0,0,85,,23,TRUE,1.1,0.9,
 'Ballyduf_ph1',49,0,1.05,,-0.197210463,0.197210463,1,FALSE,TRUE,9,0,0,0.6,68323,17,TRUE,1.1,0.9,
Killoran Solar,1832,0,1.05,,-25,25,1,FALSE,TRUE,8,0,0,76,,23,TRUE,1.1,0.9,
Mothel BESS 2,1835,0,1,60,-18.07762578,18.07762578,1,FALSE,TRUE,8,0,-55,55,,14,TRUE,1.1,0.9,
Mothel PV 1,1835,0,1,,-9.860523155,9.860523155,1,FALSE,FALSE,8,0,0,30,,23,TRUE,1.1,0.9,
Mothel PV 2,1835,0,1,,-8.21710263,8.21710263,1,FALSE,TRUE,8,0,0,25,,23,TRUE,1.1,0.9,
Mothel Ph 2,1835,0,1,,-59.16313894,59.16313894,1,FALSE,TRUE,8,0,0,180,,23,TRUE,1.1,0.9,
Curraghmore Solar,1840,0,1,,-32.86841052,32.86841052,1,FALSE,FALSE,8,0,0,100,,23,TRUE,1.1,0.9,
Skerd Rocks,1841,400,1,,-147.8571429,147.8571429,1,FALSE,FALSE,5,0,0,450,,16,TRUE,1.1,0.9,
      Skerd Rocks,1841,0,1,,-147.8571429,147.8571429,1,FALSE,TRUE,5,0,0,450,,16,TRUE,1.1,0.9,
Kish and Bray Dublin Array,1842,0,1,,-230,230,1,FALSE,TRUE,11,0,0,700,,16,TRUE,1.1,0.9,
NISA,1843,0,1,,-164.2857143,164.2857143,1,FALSE,TRUE,11,0,0,500,,16,TRUE,1.1,0.9,
Modelligo Solar Farm,1846,0,1,,-26.29472841,26.29472841,1,FALSE,TRUE,12,0,0,80,,23,TRUE,1.1,0.9,
Dyrick Hill Wind Farm,1847,0,1,,-24.45409742,24.45409742,1,FALSE,FALSE,12,0,0,74.4,,17,TRUE,1.1,0.9,
Test BESS,1847,0,1,105,-32.8684,32.8684,1,FALSE,FALSE,0,0,-100,100,,14,TRUE,1.1,0.9,
Coumnagappul Wind Farm,1848,0,1,,-22.35051915,22.35051915,1,FALSE,FALSE,12,0,0,68,,17,TRUE,1.1,0.9,
Loughryan storage,1849,0,1,105,-32.86841052,32.86841052,1,FALSE,FALSE,8,0,-100,100,,14,TRUE,1.1,0.9,
Loughryan Solar,1849,0,1,,-32.86841052,32.86841052,1,FALSE,FALSE,8,0,0,100,,14,TRUE,1.1,0.9,
Seven Hills Wind,1850,0,1,,-40.23093447,40.23093447,1,FALSE,TRUE,3,0,0,122.4,,17,TRUE,1.1,0.9,
Roscommon solar,1851,0,1,,-32,32,1,FALSE,FALSE,5,0,0,100,,23,TRUE,1.1,0.9,
Creggs Solar Farm,1851,0,1,,-24.61022238,24.61022238,1,FALSE,TRUE,3,0,0,75,,23,TRUE,1.1,0.9,
Test_PV_4,1852,0,1,,-32,32,1,FALSE,FALSE,5,0,0,100,,23,TRUE,1.1,0.9,
Ballygar storage,1852,0,1,105,-32.86841052,32.86841052,1,FALSE,FALSE,3,0,-100,100,,14,TRUE,1.1,0.9,
Great Island Offshore,1853,0,1,,-124.1999892,124.1999892,1,FALSE,TRUE,11,0,0,378,,16,TRUE,1.1,0.9,
Knockfinglas,1856,0,1,,-197.2104631,197.2104631,1,FALSE,TRUE,5,0,40,600,,9,TRUE,1.1,0.9,
Rathcoursey Solar,1857,0,1,,-25.6373602,25.6373602,1,FALSE,TRUE,10,0,0,78,,23,TRUE,1.1,0.9,
Rathcoursey BESS,1857,0,1,,-20.37841452,20.37841452,1,FALSE,TRUE,10,0,-62,62,,14,TRUE,1.1,0.9,
Ballydonagh Solar ,1858,0,1,,-29.58156947,29.58156947,1,FALSE,TRUE,3,0,0,90,,23,TRUE,1.1,0.9,
 Old Court Solar,1861,0,1,,-29.58156947,29.58156947,1,FALSE,TRUE,11,0,0,90,,23,TRUE,1.1,0.9,
Reask,1859,0,1,,-18.07762579,18.07762579,1,FALSE,TRUE,11,0,0,55,,23,TRUE,1.1,0.9,
Kilrue,1859,0,1,,-64.09340052,64.09340052,1,FALSE,TRUE,11,0,0,195,,23,TRUE,1.1,0.9,
Darthogue,1859,0,1,,-15.44815295,15.44815295,1,FALSE,TRUE,11,0,0,47,,23,TRUE,1.1,0.9,
Darthogue Solar Farm Extension,1859,0,1,,-23.00788737,23.00788737,1,FALSE,TRUE,11,0,0,70,,23,TRUE,1.1,0.9,
Darthogue Solar Farm Extension 2,1622,0,1,,-4.601577473,4.601577473,1,FALSE,TRUE,11,0,0,14,,23,TRUE,1.1,0.9,
Reask Phase 2,1859,0,1,,-9.860523157,9.860523157,1,FALSE,TRUE,11,0,0,30,,23,TRUE,1.1,0.9,
Gortawee BESS,1620,0,1,,-24.65130789,24.65130789,1,FALSE,TRUE,1,0,-75,75,,14,TRUE,1.1,0.9,
Shannonbridge TEG2,1476,0,1,,-85.4568,85.4568,1,FALSE,TRUE,3,0,0,260,,9,TRUE,1.1,0.9,
Tawnamore BESS,1444,0,1,,-25,25,1,FALSE,TRUE,2,0,-80,80,,14,TRUE,1.1,0.9,
Knockraha Offshore,1867,0,1,,-124.1999892,124.1999892,1,FALSE,TRUE,11,0,0,378,,16,TRUE,1.1,0.9,
Creemore BESS,1430,0,1,105,-95.31839051,95.31839051,1,FALSE,TRUE,11,0,-290,290,,14,TRUE,1.1,0.9,
Shannonbridge BESS,1476,0,1,,-24.65130789,24.65130789,1,FALSE,TRUE,3,0,-75,75,,14,TRUE,1.1,0.9,
Inchamore Wind Farm ,1686,0,1,,-8.677260377,8.677260377,1,FALSE,FALSE,5,0,0,26.4,,17,TRUE,1.1,0.9,
Kildallan Solar,1802,0,1,,-43.45315289,43.45315289,1,FALSE,TRUE,3,0,0,130,,23,TRUE,1.1,0.9,
Knockanarragh Wind Farm,1868,0,1,,-16.5656789,16.5656789,1,FALSE,TRUE,7,0,0,50.4,,17,TRUE,1.1,0.9,
Kilrue Extension,1859,0,1,,-57.51971842,57.51971842,1,FALSE,TRUE,11,0,0,175,,23,TRUE,1.1,0.9,
Gortyrahily Wind Farm ,1869,0,1,,-28.20109623,28.20109623,1,FALSE,FALSE,5,0,0,85.8,,17,TRUE,1.1,0.9,
    'Killala' BESS,134,0,1.05,,-3.549788336,3.549788336,1,FALSE,TRUE,2,0,-11,11,67059,14,TRUE,1.1,0.9,
Shannonbridge BESS 1,1476,0,1,,-32.86841052,32.86841052,1,FALSE,TRUE,3,0,-75,100,,14,TRUE,1.1,0.9,
Inchicore BESS,757,0,1,40,-9.860523156,9.860523156,1,FALSE,TRUE,11,0,-30,30,,14,TRUE,1.1,0.9,
Cloncreen BESS,1121,0,1.05,21,-8.21710263,8.21710263,1,FALSE,TRUE,11,0,-25,25,,14,TRUE,1.1,0.9,
porterstown BESS,1591,0,1,35,-9.860523155,9.860523155,1,FALSE,TRUE,11,0,-30,30,,14,TRUE,1.1,0.9,
Midleton BESS,1543,0,1,,-26.29472842,26.29472842,1,FALSE,TRUE,10,0,-80,80,,14,TRUE,1.1,0.9,
Ballyoughter BESS (prev. Tonroe BESS),217,0,1,,-13.14736421,13.14736421,1,FALSE,TRUE,2,0,-40,40,,14,TRUE,1.1,0.9,
Silloge BESS,515,0,1,52.5,-13.14736421,13.14736421,1,FALSE,TRUE,7,0,-40,40,,14,TRUE,1.1,0.9,
Drumgoolan BESS,18,0,1,50,-13.47604831,13.47604831,1,FALSE,TRUE,7,0,-41,41,,14,TRUE,1.1,0.9,
Friarstown BESS,1692,0,1,31.5,-9.860523156,9.860523156,1,FALSE,TRUE,9,0,-30,30,,14,TRUE,1.1,0.9,
Lyrenacarriga BESS,1795,0,1.05,,-19.716,19.716,1,FALSE,TRUE,12,0,-60,60,91047,14,TRUE,1.1,0.9,
