Element Type,Element Index,Element Name,Intact Loading %,Max Loading %,Cause Element,Cause Index,Cause Element Name
line,157,  'Stratford' to    'Stratf T',45.00657115193702,45.00657115194666,trafo,1055, 'Ennis' 
line,158,   'Somerset' to    'Somrst T',14.895373935733533,14.963917154460576,line,546, 'Shantallow' to    'Somrst T'
line,159, 'Sorne Hill' to    'Trillick',1.0204182536526423,1.255814105711673,line,447, 'Letterkenny' to     'Lenalea'
line,160,      'Sligo' to   'Srananagh' 2,8.657823763755633,44.74139333629258,line,287,   'Flagford' to   'Srananagh'
line,161,      'Sligo' to   'Srananagh',9.354956012627907,48.36128599587721,line,287,   'Flagford' to   'Srananagh'
line,162, 'Shannonbridg' to    'Dallow T',110.70282634220912,205.21591123058332,line,982, 'Portlaoise' to  'Kilcormac'
line,163, 'Shannonbridg' to    'Ikerin T',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,164, 'Shannonbridg' to    'Somrst T',75.8011342374919,117.3862091896617,line,144,     'Cashla' to      'Tynagh'
line,165, 'Shannonbridg' to    'Timoney',37.171303986360314,97.21268272620775,line,168,      'Cahir' to   'Kill Hill'
line,166,  'Ratrussan' to    'Shankill',75.4944816562116,111.91206172981771,line,1064,Arva to Knockanarragh
line,167,   'Rinawade' to    'Dunfir_T',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,168,   'RaffeenB' to  'Ringaskiddy',0.11477144603541456,0.11477328071939429,line,524,   'RaffeenB' to      'Trabeg'
line,169,   'RaffeenB' to      'Trabeg',11.499647236788583,19.870532632746553,line,777,     'Kilnap' to      'Marina'
line,170,    'Raffeen' to      'Trabeg',8.0196131760989,13.9021115867925,line,777,     'Kilnap' to      'Marina'
line,171,   'Prospect' to     'Tarbert',7.871706980811977,26.783106649598977,line,144,     'Cashla' to      'Tynagh'
line,172,     'Platin' to   'Gallanstown',23.461369777767125,92.93483884232768,line,224,    'Corduff' to  'Gallanstown'
line,173,     'Platin' to   'Oldbridge',48.44225454310645,99.41670048452683,line,333,     'Gorman' to  'Garballagh'
line,174, 'Poolbeg Sout' to    'Ckmn_PST',35.89759452874838,102.79630145632046,line,356,  'Inchicore' to   'Irishtown'
line,175,    'Poolbeg' to    'Ringsend',27.242762877196203,32.187360981157,line,463,  'McDermott' to  'North Quays'
line,176,    'Poolbeg' to    'Ringsend' 2,27.242762877196203,32.187360981157,line,463,  'McDermott' to  'North Quays'
line,177, 'Pollaphuca' to    'Stratf T',7.911444167005675,7.246971627646075,line,1059,   'Aghada_B' to   'Offshore Knockraha'
line,178,  'Oldstreet' to    'Woodland',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,179,  'Oldstreet' to      'Tynagh',63.04587635972209,155.29470178647296,line,144,     'Cashla' to      'Tynagh'
line,180,  'Oughtragh' to    'Outagh T',17.61508346327208,17.778813627926038,line,965, 'Tralee' to      'Shrownoen'
line,181, 'North Wall' to  'Poolbeg Nort',24.423272260852112,47.691482565982525,line,299, 'Finglas220b' to  'North Wall'
line,182,Balruntagh to Navan,12.404629824249758,67.75990061595206,line,1063,Knockanarragh to Balruntagh
line,183, 'North Quays' to    'Ringsend',88.985456795671,115.93231175430701,line,356,  'Inchicore' to   'Irishtown'
line,184,  'Newbridge' to     'Blake T',31.29843280961407,61.674845370727716,line,266,  'Derryiron' to  'Thornsberry'
line,185,   'Bancroft' to   'Cookstown',3.604087511013423,31.885573095856675,line,497,   'Bancroft' to  'CKM_Country'
line,186,   'Bancroft' to  'CKM_Country',26.60778028763606,28.954130435472177,line,498,   'Bancroft' to   'Cookstown'
line,187,        'Moy' to  'Tawnaghmore',106.7346165254093,112.6250977352302,line,494,        'Moy' to      'Tonroe'
line,188,        'Moy' to      'TAWN_B',0.5289862614671041,0.5301255133343091,line,494,        'Moy' to      'Tonroe'
line,189,        'Moy' to      'Tonroe',16.397215965061836,31.15232023331495,line,85, 'Bellacorick' to   'Castlebar'
line,190,     'Marina' to      'Trabeg',9.885444946908057,18.634605317481128,line,489,     'Marina' to      'Trabeg' 2
line,191,     'Marina' to      'Trabeg' 2,9.62150118835913,18.713973989783888,line,490,     'Marina' to      'Trabeg'
line,192, 'Moneypoint' to    'Prospect',2.659306192833874,17.639252263115097,line,144,     'Cashla' to      'Tynagh'
line,193, 'Moneypoint' to    'Tulbrk T',17.738352867429004,29.939777718774046,line,141,     'Cashla' to       'Ennis'
line,194,     'MNYPG1' to   'Oldstreet',7.419598337836976,35.49482984020732,line,976,  'Woodland' to    'Rathcobican'
line,195,   'Milltown' to       'Taney',16.693360456668845,46.01573621253823,line,173, 'Carrickmines' to  'Pottery Road'
line,196,   'Milltown' to    'Ringsend' 2,27.46391821603318,49.12336396712963,line,474,   'Milltown' to    'Ringsend'
line,197,   'Milltown' to    'Ringsend',42.75568007338057,63.195608554045954,line,475,   'Milltown' to    'Ringsend' 2
line,198, 'Maynooth A' to  'Shannonbridg',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,199, 'Maynooth B' to    'Ryebrook',46.37535846334974,68.14763777397333,line,223,    'Corduff' to    'Ryebrook'
line,200, 'Maynooth B' to    'Rinawade',92.8194948730557,147.9030732909666,trafo,1324,Rathcobican'
line,201, 'Maynooth B' to     'Blake T',24.214052048596336,49.49038528520735,line,466, 'Maynooth A' to     'Timahoe'
