Bus_ID,Bus_Name,Cum_sOTDF,Avg_sOTDF,Med_sOTDF,Max_sOTDF,Min_sOTDF,Circuit_Involved_max,Scaled_OTDF_Contribution_max,Cont_Loading_x,Percent Reduction_max,Circuit_Involved_min,Scaled_OTDF_Contribution_min,Cont_Loading_y,Percent Reduction_min
0,Knockraha,13.154910840979788,0.773818284763517,2.0871812212676413,2.8716025762608,-5.147925683394007,''McDermott' to  'North Quays'',2.8716025762608,131.49792174236993,81.85054325354159,''Coolnabacky' to  'Portlaoise'',-5.147925683394007,174.04345554217545,-389.8239452400401
3,DromanaHV,4.123987509800602,0.24258750057650602,1.9424887245917202,2.871832623340609,-7.413281105758515,''McDermott' to  'North Quays'',2.871832623340609,131.49792174236993,81.85710038599852,''Coolnabacky' to  'Portlaoise'',-7.413281105758515,174.04345554217545,-561.3667845171666
5,CurraghtownHV,434.1455788207924,22.849767306357496,1.475089737725156,148.28529193192713,-3.1580161133353672,'Paddock to Woodland',148.28529193192713,149.00960676425257,21166.157120781794,''Maynooth B' to    'Rinawade'',-3.1580161133353672,147.9030732909666,-81.82344636432322
10,GormanSolarHV,-9.334081853247621,-0.6667201323748301,-1.8700791893697297,3.2133360784048235,-4.426254885052046,''Coolnabacky' to  'Portlaoise'',3.2133360784048235,174.04345554217545,243.32817225909707,''Flagford' to  'Sliabh Bawn'',-4.426254885052046,126.04702382311288,-162.80554523281143
13,Balruntagh,-26.511541616862164,-1.5595024480507156,-1.9886960368127617,3.1403239316870195,-6.557976163678694,''Coolnabacky' to  'Portlaoise'',3.1403239316870195,174.04345554217545,237.79936612737873,''Flagford' to  'Sliabh Bawn'',-6.557976163678694,126.04702382311288,-241.21405402051005
25,Timoney,74.68589656869844,4.667868535543652,2.2579093946309765,28.72093811400544,-2.867124201914436,''Cahir' to        'Doon'',28.72093811400544,140.62618463464352,83.19994150645354,''Shanonagh' to   'Lanesboro'',-2.867124201914436,110.12798532393934,-2.6439694425736704
29,Lysaghtstown,264.88853676273936,13.94150193488102,2.0799884182089627,126.64658432947252,-5.4470734063796975,'Knockraha to Lysaghtstown',126.64658432947252,126.95573036249297,2823.3767614641056,''Coolnabacky' to  'Portlaoise'',-5.4470734063796975,174.04345554217545,-412.47674808838514
120,Knocknamona,-0.8108945638189526,-0.04769968022464427,1.9460961478155618,2.8716300134130766,-8.458477227665565,''McDermott' to  'North Quays'',2.8716300134130766,131.49792174236993,81.8513253066842,''Cahir' to        'Doon'',-8.458477227665565,140.62618463464352,-434.94995561514213
146,Orieloffsho,139.79475961938354,8.223221154081385,1.5056517397253573,140.02736901800776,-3.704028072448895,''Louth' to       'Oriel'',140.02736901800776,141.75131924581436,17899.174913141185,''Flagford' to  'Sliabh Bawn'',-3.704028072448895,126.04702382311288,-136.24075557175942
147,Oriellandin,139.79479176573767,8.223223045043392,1.505652085960475,140.02740121856002,-3.7040289242170785,''Louth' to       'Oriel'',140.02740121856002,141.75131924581436,17899.17902921736,''Flagford' to  'Sliabh Bawn'',-3.7040289242170785,126.04702382311288,-136.24078690131162
148,Oriel,139.7950123750254,8.223236022060318,1.5056544620135661,140.02762219545957,-3.704034769549158,''Louth' to       'Oriel'',140.02762219545957,141.75131924581436,17899.20727586803,''Flagford' to  'Sliabh Bawn'',-3.704034769549158,126.04702382311288,-136.24100190304583
