Bus_ID,Bus_Name,Cum_sOTDF,Avg_sOTDF,Med_sOTDF,Max_sOTDF,Min_sOTDF,Circuit_Involved_max,Scaled_OTDF_Contribution_max,Cont_Loading_x,Percent Reduction_max,Circuit_Involved_min,Scaled_OTDF_Contribution_min,Cont_Loading_y,Percent Reduction_min
0,Knockraha,13.154910873485646,0.7738182866756262,2.0871812212408063,2.8716025771706977,-5.147925683403201,''McDermott' to  'North Quays'',2.8716025771706977,131.49792174241549,81.85054327956679,''Coolnabacky' to  'Portlaoise'',-5.147925683403201,174.04345554205617,-389.8239452403754
3,DromanaHV,4.123987544677451,0.24258750262808537,1.9424887245748168,2.8718326259757476,-7.413281105788493,''McDermott' to  'North Quays'',2.8718326259757476,131.49792174241549,81.85710046119905,''Coolnabacky' to  'Portlaoise'',-7.413281105788493,174.04345554205617,-561.366784518917
5,CurraghtownHV,434.145578847953,22.849767307787,1.4750897376957213,148.28529193153418,-3.15801611324147,'Paddock to Woodland',148.28529193153418,149.00960676426376,21166.157120728945,''Maynooth B' to    'Rinawade'',-3.15801611324147,147.90307329116044,-81.8234463621142
10,GormanSolarHV,-9.334081824767624,-0.6667201303405446,-1.8700791893026762,3.213336078340314,-4.426254882265872,''Coolnabacky' to  'Portlaoise'',3.213336078340314,174.04345554205617,243.32817225398693,''Flagford' to  'Sliabh Bawn'',-4.426254882265872,126.04702382347412,-162.8055451321223
13,Balruntagh,-26.511541587714134,-1.5595024463361256,-1.9886960367100237,3.1403239316600344,-6.557976160903484,''Coolnabacky' to  'Portlaoise'',3.1403239316600344,174.04345554205617,237.7993661251152,''Flagford' to  'Sliabh Bawn'',-6.557976160903484,126.04702382347412,-241.21405392108687
25,Timoney,74.68589660030827,4.667868537519267,2.2579093948853326,28.720938114093933,-2.8671242019904875,''Cahir' to        'Doon'',28.720938114093933,140.62618463459307,83.1999415066364,''Shanonagh' to   'Lanesboro'',-2.8671242019904875,110.12798532388821,-2.643969442631678
29,Lysaghtstown,264.8885367944923,13.941501936552228,2.0799884181819395,126.64658432922073,-5.447073406425253,'Knockraha to Lysaghtstown',126.64658432922073,126.95573036250225,2823.376761459259,''Coolnabacky' to  'Portlaoise'',-5.447073406425253,174.04345554205617,-412.476748091453
120,Knocknamona,-0.8108945289092564,-0.04769967817113273,1.9460961477754835,2.8716300155333547,-8.458477227554804,''McDermott' to  'North Quays'',2.8716300155333547,131.49792174241549,81.85132536720943,''Cahir' to        'Doon'',-8.458477227554804,140.62618463459307,-434.9499556090625
146,Orieloffsho,139.79475964766831,8.223221155745195,1.5056517396866587,140.02736901808328,-3.704028069653504,''Louth' to       'Oriel'',140.02736901808328,141.7513192458582,17899.1749131641,''Flagford' to  'Sliabh Bawn'',-3.704028069653504,126.04702382347412,-136.24075547043898
147,Oriellandin,139.79479179454495,8.223223046737939,1.5056520859317188,140.0274012185711,-3.7040289214123336,''Louth' to       'Oriel'',140.0274012185711,141.7513192458582,17899.17902923204,''Flagford' to  'Sliabh Bawn'',-3.7040289214123336,126.04702382347412,-136.24078679964714
148,Oriel,139.79501240471663,8.22323602380686,1.5056544619915,140.02762219576073,-3.704034766746597,''Louth' to       'Oriel'',140.02762219576073,141.7513192458582,17899.20727591979,''Flagford' to  'Sliabh Bawn'',-3.704034766746597,126.04702382347412,-136.24100180146166
149,CUREENY,18.49407628168817,1.2329384187792114,2.197612521290658,3.43285413496379,-2.9874464116229933,''Lanesboro' to  'Sliabh Bawn'',3.43285413496379,127.54969851964366,131.97753936592176,''Coolnabacky' to  'Portlaoise'',-2.9874464116229933,174.04345554205617,-226.222796907821
151,SliabhBawn,-64.85279094406042,-3.6029328302255785,0.319315457470859,58.900664855409275,-67.63573819690957,''Flagford' to  'Sliabh Bawn'',58.900664855409275,126.04702382347412,2166.4714539711267,''Lanesboro' to  'Sliabh Bawn'',-67.63573819690957,127.54969851964366,-2600.2847629061775
152,BUNKIMALT,18.494089001413062,1.2329392667608707,2.1976140327460247,3.432856495963937,-2.9874484663334004,''Lanesboro' to  'Sliabh Bawn'',3.432856495963937,127.54969851964366,131.977630135578,''Coolnabacky' to  'Portlaoise'',-2.9874484663334004,174.04345554205617,-226.2229524996781
301,Trien,2.666577593513798,0.2051213533472152,-1.2438162040823575,2.8719741554218032,-2.490360107189051,''McDermott' to  'North Quays'',2.8719741554218032,131.49792174241549,81.86113453685485,''Shannonbridg' to    'Dallow T'',-2.490360107189051,205.21591123058096,-227.26879207469221
315,TulbrkT,6.552458111018656,0.4680327222156183,1.6202769777476067,2.8720022950266015,-2.4907382450953097,''McDermott' to  'North Quays'',2.8720022950266015,131.49792174241549,81.86193661230871,''Shannonbridg' to    'Dallow T'',-2.4907382450953097,205.21591123058096,-227.3033007166131
327,Carrickalang,-110.4168752723248,-6.495110310136753,-3.528881484569507,2.8702216186497376,-22.85730675524567,''McDermott' to  'North Quays'',2.8702216186497376,131.49792174241549,81.81118121530145,''Flagford' to       'Sligo'',-22.85730675524567,124.72419071880961,-448.55830479572774
339,Tarbert,4.266549514798211,0.30475353677130074,0.07001300652264508,2.8719814135054644,-2.490427667184072,''McDermott' to  'North Quays'',2.8719814135054644,131.49792174241549,81.86134141718556,''Shannonbridg' to    'Dallow T'',-2.490427667184072,205.21591123058096,-227.27495755992328
340,CentralPark,2.246807857265595,0.14042549107909968,1.4189105673177795,2.872972189647792,-4.638494228231922,''McDermott' to  'North Quays'',2.872972189647792,131.49792174241549,81.88958194258508,''Maynooth B' to    'Rinawade'',-4.638494228231922,147.90307329116044,-120.18228219080989
