name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,,scale
41002,527,30.4,9.99,0,0,,1,TRUE,wye,Newbury,1
32302,734,30.4,9.99,0,0,,1,TRUE,wye,Kilcarbery,1
43604,488,30.33,1.97,0,0,,1,TRUE,wye,Oughtragh,1
18204,1080,30.14,0,0,0,,1,TRUE,wye,Cloon,1
17204,1106,29.99,4.57,0,0,,1,TRUE,wye,Cahir,1
10205,1421,29.61,3.68,0,0,,1,TRUE,wye,Ardnacrusha,1
3921,1828,29.45,9.68,0,0,,1,TRUE,wye,Metro North,1
38004,601,29.24,5.19,0,0,,1,TRUE,wye,Midleton,1
14304,1244,28.97,6.29,0,0,,1,TRUE,wye,Ballyragget,1
36001,635,28.34,3.05,0,0,,1,TRUE,wye,LibertyStre,1
40204,552,27.19,4.13,0,0,,1,TRUE,wye,Mallow,1
42102,518,26.95,1.77,0,0,,1,TRUE,wye,NorthQuays,1
50604,345,26.63,3.95,0,0,,1,TRUE,wye,Stratford,1
13804,1267,26.62,5.79,0,0,,1,TRUE,wye,Barnahely,1
50004,361,26.12,3.91,0,0,,1,TRUE,wye,Somerset,1
37601,605,25.5,1.28,0,0,,1,TRUE,wye,MaceESB,1
42604,500,25.36,8.62,0,0,,1,TRUE,wye,Nenagh,1
53604,207,25.14,4.14,0,0,,1,TRUE,wye,Trillick,1
44001,472,24.23,1.33,0,0,,1,TRUE,wye,Poppintree,1
28601,781,23.78,1.08,0,0,,1,TRUE,wye,GrangeCastl,1
28601,781,23.78,1.08,0,0,,1,TRUE,wye,GrangeCastl,1
32702,708,23.75,7.81,0,0,,1,TRUE,wye,Kishoge,1
3911,1827,23.75,7.81,0,0,,1,TRUE,wye,Metro Airpor,1
33201,696,23.66,10.99,0,0,,1,TRUE,wye,Knockumber,1
53804,194,23.65,4.29,0,0,,1,TRUE,wye,Tipperary,1
17004,1118,23.49,1.4,0,0,,1,TRUE,wye,CathFall,1
18804,1047,22.91,3.51,0,0,,1,TRUE,wye,Charleville,1
28201,790,22.8,7.49,0,0,,1,TRUE,wye,Gortawee,1
37501,606,22.08,1.19,0,0,,1,TRUE,wye,MiseryHill,1
51801,334,21.72,1.79,0,0,,1,TRUE,wye,Trabeg,1
39801,561,21.5,12.1,0,0,,1,TRUE,wye,Mungret,1
13702,1269,21.38,7.03,0,0,,1,TRUE,wye,Barnageeragh,1
12201,1357,21.31,5.75,0,0,,1,TRUE,wye,Athy,1
22404,909,21.13,4.23,0,0,,1,TRUE,wye,Dallow,1
29401,763,20.94,6.1,0,0,,1,TRUE,wye,HaroldsCros,1
28601,781,20.9,4.9,0,0,,1,TRUE,wye,GrangeCastl,1
19504,1020,20.45,2.81,0,0,,1,TRUE,wye,Carrowbeg,1
52604,303,20.1,2.62,0,0,,1,TRUE,wye,Trien,1
50901,343,20.04,1.91,0,0,,1,TRUE,wye,Singland,1
28601,781,20,6.5,0,0,,1,TRUE,wye,GrangeCastl,1
38001,603,19.86,3.53,0,0,,1,TRUE,wye,Midleton,1
38804,572,19.78,2.24,0,0,,1,TRUE,wye,Macroom,1
28804,775,19.52,2.09,0,0,,1,TRUE,wye,Glenlara,1
39601,564,19.23,1.66,0,0,,1,TRUE,wye,Marina,1
19204,1028,19.08,0.51,0,0,,1,TRUE,wye,Cow_Cross,1
18304,1075,19.08,2.49,0,0,,1,TRUE,wye,Screeb,1
53302,219,19,6.24,0,0,,1,TRUE,wye,YellowMeadow,1
51110,342,19,6.24,0,0,,1,TRUE,wye,Snughborough,1
45101,446,18.88,1.54,0,0,,1,TRUE,wye,PotteryRoad,1
35004,681,18.86,2.85,0,0,,1,TRUE,wye,Lanesboro,1
18701,1049,18.52,1.9,0,0,,1,TRUE,wye,CollegePark,1
27404,816,18.18,4.99,0,0,,1,TRUE,wye,GreatIsland,1
12702,1334,18.12,0.9,0,0,,1,TRUE,wye,Baltrasna,1
44901,448,18.04,0,0,0,,1,TRUE,wye,Pelletstown,1
45001,447,18,5.9,0,0,,1,TRUE,wye,Platin,1
18504,1059,17.9,5.22,0,0,,1,TRUE,wye,Cherrywood,1
32201,742,17.83,2.45,0,0,,1,TRUE,wye,Kilbarry,1
15704,1177,17.64,1.94,0,0,,1,TRUE,wye,Ardnagappary,1
13001,1323,17.08,0.08,0,0,,1,TRUE,wye,Ballybeg,1
15801,1174,16.93,4.9,0,0,,1,TRUE,wye,Cabra,1
53404,217,16.88,2.67,0,0,,1,TRUE,wye,Tonroe,1
13604,1274,16.71,3.04,0,0,,1,TRUE,wye,Ballydine,1
12001,1360,16.26,0.47,0,0,,1,TRUE,wye,Artane,1
34001,690,16.03,3.09,0,0,,1,TRUE,wye,Killoteran,1
27805,796,15.98,1.71,0,0,,1,TRUE,wye,Galway,1
40801,540,15.79,2.07,0,0,,1,TRUE,wye,Monread,1
25901,852,15.79,0.95,0,0,,1,TRUE,wye,Fortunestown,1
12804,1329,15.54,0.74,0,0,,1,TRUE,wye,Ballylickey,1
38601,575,15.46,0.46,0,0,,1,TRUE,wye,Milltown,1
20201,1006,14.29,4.17,0,0,,1,TRUE,wye,CityWest,1
51110,342,14.25,4.68,0,0,,1,TRUE,wye,Snughborough,1
52204,319,14.22,4.07,0,0,,1,TRUE,wye,Tulabrack,1
55002,173,14.06,2.49,0,0,,1,TRUE,wye,Wexford,1
1101,1770,14,6.9,0,0,,1,TRUE,wye,Anner,1
16901,1119,12.94,0.36,0,0,,1,TRUE,wye,CentralPark,1
52301,310,12.64,3.68,0,0,,1,TRUE,wye,Trinity,1
13802,1268,12.25,2.67,0,0,,1,TRUE,wye,Barnahely,1
23002,880,12.23,3.56,0,0,,1,TRUE,wye,Dunfirth,1
28204,788,12.13,1.63,0,0,,1,TRUE,wye,Gortawee,1
16202,1169,12.03,0,0,0,,1,TRUE,wye,Coolroe,1
26802,834,11.42,2.83,0,0,,1,TRUE,wye,Gilra,1
46501,442,11.27,0.44,0,0,,1,TRUE,wye,Ringsend,1
42802,493,11.11,2.63,0,0,,1,TRUE,wye,Nangor,1
51301,341,11.04,0.71,0,0,,1,TRUE,wye,Taney,1
27801,798,10.34,1.1,0,0,,1,TRUE,wye,Galway,1
33801,693,10.19,2.44,0,0,,1,TRUE,wye,Kinnegad,1
