name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,scale
39801,561,21.5,12.1,0,0,,1,TRUE,wye,1
38004,601,21.48,3.8,0,0,,1,TRUE,wye,1
13702,1269,21.38,7.03,0,0,,1,TRUE,wye,1
14304,1244,21.28,4.62,0,0,,1,TRUE,wye,1
36001,635,20.81,2.24,0,0,,1,TRUE,wye,1
40204,552,19.97,3.03,0,0,,1,TRUE,wye,1
42102,518,19.8,1.3,0,0,,1,TRUE,wye,1
50604,345,19.56,2.9,0,0,,1,TRUE,wye,1
13804,1267,19.55,4.26,0,0,,1,TRUE,wye,1
50004,361,19.19,2.87,0,0,,1,TRUE,wye,1
53302,219,19,6.24,0,0,,1,TRUE,wye,1
37601,605,18.73,0.94,0,0,,1,TRUE,wye,1
42604,500,18.62,6.32,0,0,,1,TRUE,wye,1
53604,207,18.47,3.04,0,0,,1,TRUE,wye,1
45001,447,18,5.9,0,0,,1,TRUE,wye,1
44001,472,17.79,0.98,0,0,,1,TRUE,wye,1
53804,194,17.37,3.14,0,0,,1,TRUE,wye,1
17004,1118,17.26,1.02,0,0,,1,TRUE,wye,1
18804,1047,16.83,2.57,0,0,,1,TRUE,wye,1
37501,606,16.22,0.87,0,0,,1,TRUE,wye,1
51801,334,15.96,1.31,0,0,,1,TRUE,wye,1
12201,1357,15.66,4.22,0,0,,1,TRUE,wye,1
22404,909,15.53,3.11,0,0,,1,TRUE,wye,1
29401,763,15.38,4.48,0,0,,1,TRUE,wye,1
19504,1020,15.02,2.06,0,0,,1,TRUE,wye,1
52604,303,14.76,1.92,0,0,,1,TRUE,wye,1
50901,343,14.72,1.4,0,0,,1,TRUE,wye,1
38001,603,14.59,2.58,0,0,,1,TRUE,wye,1
38804,572,14.52,1.65,0,0,,1,TRUE,wye,1
28804,775,14.34,1.53,0,0,,1,TRUE,wye,1
39601,564,14.13,1.21,0,0,,1,TRUE,wye,1
18304,1075,14.01,1.83,0,0,,1,TRUE,wye,1
19204,1028,14.01,0.37,0,0,,1,TRUE,wye,1
1101,1770,14,6.9,0,0,,1,TRUE,wye,1
45101,446,13.87,1.13,0,0,,1,TRUE,wye,1
35004,681,13.86,2.09,0,0,,1,TRUE,wye,1
18701,1049,13.61,1.4,0,0,,1,TRUE,wye,1
27404,816,13.34,3.66,0,0,,1,TRUE,wye,1
12702,1334,13.3,0.65,0,0,,1,TRUE,wye,1
44901,448,13.26,0,0,0,,1,TRUE,wye,1
18504,1059,13.15,3.84,0,0,,1,TRUE,wye,1
32201,742,13.09,1.8,0,0,,1,TRUE,wye,1
15704,1177,12.96,1.42,0,0,,1,TRUE,wye,1
13001,1323,12.55,0.05,0,0,,1,TRUE,wye,1
15801,1174,12.43,3.6,0,0,,1,TRUE,wye,1
53404,217,12.4,1.96,0,0,,1,TRUE,wye,1
13604,1274,12.28,2.22,0,0,,1,TRUE,wye,1
12001,1360,11.95,0.35,0,0,,1,TRUE,wye,1
34001,690,11.77,2.27,0,0,,1,TRUE,wye,1
27805,796,11.74,1.25,0,0,,1,TRUE,wye,1
25901,852,11.6,0.7,0,0,,1,TRUE,wye,1
40801,540,11.6,1.52,0,0,,1,TRUE,wye,1
26802,834,11.42,2.83,0,0,,1,TRUE,wye,1
12804,1329,11.41,0.53,0,0,,1,TRUE,wye,1
38601,575,11.35,0.34,0,0,,1,TRUE,wye,1
42802,493,11.11,2.63,0,0,,1,TRUE,wye,1
20201,1006,10.5,3.05,0,0,,1,TRUE,wye,1
52204,319,10.44,2.99,0,0,,1,TRUE,wye,1
55002,173,10.32,1.83,0,0,,1,TRUE,wye,1
33801,693,10.19,2.44,0,0,,1,TRUE,wye,1
28602,780,10,3.286841052,0,0,,1,TRUE,wye,1
28611,778,10,3.286841052,0,0,,1,TRUE,wye,1
16901,1119,9.51,0.26,0,0,,1,TRUE,wye,1
10902,1393,9.5,3.12,0,0,,1,TRUE,wye,1
52301,310,9.29,2.7,0,0,,1,TRUE,wye,1
47402,417,9.13,1.43,0,0,,1,TRUE,wye,1
54801,175,9,5.1,0,0,,1,TRUE,wye,1
13802,1268,8.99,1.96,0,0,,1,TRUE,wye,1
23002,880,8.98,2.62,0,0,,1,TRUE,wye,1
28204,788,8.91,1.19,0,0,,1,TRUE,wye,1
16202,1169,8.83,0,0,0,,1,TRUE,wye,1
19610,1017,8.8,2.9,0,0,,1,TRUE,wye,1
46501,442,8.27,0.33,0,0,,1,TRUE,wye,1
51301,341,8.11,0.52,0,0,,1,TRUE,wye,1
27801,798,7.59,0.81,0,0,,1,TRUE,wye,1
29501,762,7.37,1.45,0,0,,1,TRUE,wye,1
15402,1197,6.98,0.52,0,0,,1,TRUE,wye,1
13601,1275,5.99,1.67,0,0,,1,TRUE,wye,1
22501,898,5.97,0.29,0,0,,1,TRUE,wye,1
10901,1394,5.63,1.83,0,0,,1,TRUE,wye,1
38701,574,5.34,0.15,0,0,,1,TRUE,wye,1
13501,1276,5.26,0.82,0,0,,1,TRUE,wye,1
14002,1264,4.84,0.26,0,0,,1,TRUE,wye,1
37602,604,4.58,0.55,0,0,,1,TRUE,wye,1
10602,1403,4.46,0.07,0,0,,1,TRUE,wye,1
40602,545,4.46,1.33,0,0,,1,TRUE,wye,1
10801,1396,4.06,0.22,0,0,,1,TRUE,wye,1
14401,1243,4.06,0.61,0,0,,1,TRUE,wye,1
15001,1214,3.95,0.98,0,0,,1,TRUE,wye,1
13404,1300,3.77,0.09,0,0,,1,TRUE,wye,1
50301,350,2.97,0.44,0,0,,1,TRUE,wye,1
49001,410,2.29,0.7,0,0,,1,TRUE,wye,1
14405,1240,2,0.6573,0,0,,1,TRUE,wye,1
4341,1508,0.3,0.1,0,0,,1,TRUE,wye,1
